row_index,page_url,name,franchise,char_lower
0,https://james-camerons-avatar.fandom.com/wiki/Jake_Sully,Jake Sully,Avatar,jake sully
1,https://james-camerons-avatar.fandom.com/wiki/Neytiri,Neytiri,Avatar,neytiri
2,https://james-camerons-avatar.fandom.com/wiki/Grace_Augustine,Grace Augustine,Avatar,grace augustine
3,https://james-camerons-avatar.fandom.com/wiki/Trudy_Chacón,Trudy Chacón,Avatar,trudy chacón
4,https://james-camerons-avatar.fandom.com/wiki/Parker_Selfridge,Parker Selfridge,Avatar,parker selfridge
5,https://james-camerons-avatar.fandom.com/wiki/Norm_Spellman,Norm Spellman,Avatar,norm spellman
6,https://james-camerons-avatar.fandom.com/wiki/Mo'at,Mo'at,Avatar,mo'at
7,https://james-camerons-avatar.fandom.com/wiki/Miles_Quaritch,Miles Quaritch,Avatar,miles quaritch
8,https://james-camerons-avatar.fandom.com/wiki/Max_Patel,Max Patel,Avatar,max patel
9,https://james-camerons-avatar.fandom.com/wiki/Lyle_Wainfleet,Lyle Wainfleet,Avatar,lyle wainfleet
10,https://james-camerons-avatar.fandom.com/wiki/Tsu'tey,Tsu'tey,Avatar,tsu'tey
11,https://james-camerons-avatar.fandom.com/wiki/Akwey,Akwey,Avatar,akwey
12,https://james-camerons-avatar.fandom.com/wiki/Kendra_Midori,Kendra Midori,Avatar,kendra midori
13,https://james-camerons-avatar.fandom.com/wiki/Karl_Falco,Karl Falco,Avatar,karl falco
14,https://james-camerons-avatar.fandom.com/wiki/René_Harper,René Harper,Avatar,rené harper
15,https://james-camerons-avatar.fandom.com/wiki/Eytukan,Eytukan,Avatar,eytukan
16,https://james-camerons-avatar.fandom.com/wiki/Sean_Fike,Sean Fike,Avatar,sean fike
17,https://james-camerons-avatar.fandom.com/wiki/Able_Ryder,Able Ryder,Avatar,able ryder
18,https://james-camerons-avatar.fandom.com/wiki/Victor_Monroe,Victor Monroe,Avatar,victor monroe
19,https://james-camerons-avatar.fandom.com/wiki/Sänume,Sänume,Avatar,sänume
20,https://james-camerons-avatar.fandom.com/wiki/Marali,Marali,Avatar,marali
21,https://james-camerons-avatar.fandom.com/wiki/Amanti,Amanti,Avatar,amanti
22,https://james-camerons-avatar.fandom.com/wiki/Eywa,Eywa,Avatar,eywa
23,https://james-camerons-avatar.fandom.com/wiki/Alison_Boyd,Alison Boyd,Avatar,alison boyd
24,https://james-camerons-avatar.fandom.com/wiki/Tom_Sully,Tom Sully,Avatar,tom sully
25,https://james-camerons-avatar.fandom.com/wiki/Ateyo,Ateyo,Avatar,ateyo
26,https://james-camerons-avatar.fandom.com/wiki/Seze,Seze,Avatar,seze
27,https://james-camerons-avatar.fandom.com/wiki/Ninat,Ninat,Avatar,ninat
28,https://james-camerons-avatar.fandom.com/wiki/Sylwanin,Sylwanin,Avatar,sylwanin
29,https://james-camerons-avatar.fandom.com/wiki/Ryan_Lorenz,Ryan Lorenz,Avatar,ryan lorenz
30,https://james-camerons-avatar.fandom.com/wiki/John_Cage,John Cage,Avatar,john cage
31,https://james-camerons-avatar.fandom.com/wiki/Hukato,Hukato,Avatar,hukato
32,https://james-camerons-avatar.fandom.com/wiki/Lungoray,Lungoray,Avatar,lungoray
33,https://james-camerons-avatar.fandom.com/wiki/Raltaw,Raltaw,Avatar,raltaw
34,https://james-camerons-avatar.fandom.com/wiki/Peyral,Peyral,Avatar,peyral
35,https://james-camerons-avatar.fandom.com/wiki/Ikeyni,Ikeyni,Avatar,ikeyni
36,https://james-camerons-avatar.fandom.com/wiki/Mekanei,Mekanei,Avatar,mekanei
37,https://james-camerons-avatar.fandom.com/wiki/Anthony_Ossman,Anthony Ossman,Avatar,anthony ossman
38,https://james-camerons-avatar.fandom.com/wiki/Molly_Ossman,Molly Ossman,Avatar,molly ossman
39,https://james-camerons-avatar.fandom.com/wiki/Nok,Nok,Avatar,nok
40,https://james-camerons-avatar.fandom.com/wiki/Rai'uk,Rai'uk,Avatar,rai'uk
41,https://james-camerons-avatar.fandom.com/wiki/Sean_Wallen,Sean Wallen,Avatar,sean wallen
42,https://james-camerons-avatar.fandom.com/wiki/Tasun,Tasun,Avatar,tasun
43,https://james-camerons-avatar.fandom.com/wiki/Kyuna,Kyuna,Avatar,kyuna
44,https://james-camerons-avatar.fandom.com/wiki/Savoy,Savoy,Avatar,savoy
45,https://james-camerons-avatar.fandom.com/wiki/Gregorius,Gregorius,Avatar,gregorius
46,https://james-camerons-avatar.fandom.com/wiki/Pale,Pale,Avatar,pale
47,https://james-camerons-avatar.fandom.com/wiki/Paul_Frommer,Paul Frommer,Avatar,paul frommer
48,https://james-camerons-avatar.fandom.com/wiki/Cordell_Lovecraft,Cordell Lovecraft,Avatar,cordell lovecraft
49,https://james-camerons-avatar.fandom.com/wiki/Olewski,Olewski,Avatar,olewski
50,https://james-camerons-avatar.fandom.com/wiki/Fmilam,Fmilam,Avatar,fmilam
51,https://james-camerons-avatar.fandom.com/wiki/Tse'huk,Tse'huk,Avatar,tse'huk
52,https://james-camerons-avatar.fandom.com/wiki/Mendala,Mendala,Avatar,mendala
53,https://james-camerons-avatar.fandom.com/wiki/Oloniwin,Oloniwin,Avatar,oloniwin
54,https://james-camerons-avatar.fandom.com/wiki/Tsamlok,Tsamlok,Avatar,tsamlok
55,https://james-camerons-avatar.fandom.com/wiki/Lawrence,Lawrence,Avatar,lawrence
56,https://james-camerons-avatar.fandom.com/wiki/Lompo,Lompo,Avatar,lompo
57,https://james-camerons-avatar.fandom.com/wiki/Omati,Omati,Avatar,omati
58,https://james-camerons-avatar.fandom.com/wiki/Onantu,Onantu,Avatar,onantu
59,https://james-camerons-avatar.fandom.com/wiki/Ukamtsu,Ukamtsu,Avatar,ukamtsu
60,https://james-camerons-avatar.fandom.com/wiki/Nera'nak,Nera'nak,Avatar,nera'nak
61,https://james-camerons-avatar.fandom.com/wiki/Malimi,Malimi,Avatar,malimi
62,https://james-camerons-avatar.fandom.com/wiki/Mukata,Mukata,Avatar,mukata
63,https://james-camerons-avatar.fandom.com/wiki/Tsa'law,Tsa'law,Avatar,tsa'law
64,https://james-camerons-avatar.fandom.com/wiki/Mel,Mel,Avatar,mel
