franchise,regime,pages,labeled,dropped,drop_pct,mortality_as_reported,mortality_dropped_as_alive,pct_with_actor,mortality_inflation_pp
Boardwalk Empire,status,557,115,442,79.3536804308797,99.1304347826087,20.46678635547576,98.02513464991023,78.66364842713294
The Wire,status,275,43,232,84.36363636363636,95.34883720930233,14.909090909090908,91.63636363636364,80.43974630021143
The Walking Dead,status,49,49,0,0.0,81.63265306122449,81.63265306122449,53.06122448979592,0.0
The Hunger Games,status,351,289,62,17.663817663817664,78.54671280276817,64.67236467236468,0.0,13.87434813040349
Spartacus,status,251,247,4,1.593625498007968,73.27935222672065,72.11155378486056,96.01593625498009,1.1677984418600857
Dexter,status,262,230,32,12.213740458015268,72.6086956521739,63.74045801526717,94.65648854961832,8.868237636906734
The 100,status,208,207,1,0.4807692307692308,72.46376811594203,72.11538461538461,80.28846153846155,0.34838350055741785
Lord of the Rings,dod_only,521,521,0,0.0,71.97696737044146,71.97696737044146,13.62763915547025,0.0
Peaky Blinders,status,14,13,1,7.142857142857143,69.23076923076923,64.28571428571429,0.0,4.945054945054935
Vikings,status,210,203,7,3.3333333333333335,66.50246305418719,64.28571428571429,89.04761904761904,2.216748768472897
Alien vs Predator,status,3226,2279,947,29.35523868567886,65.99385695480474,46.62120272783633,24.302541847489152,19.372654226968415
Supernatural,status,397,314,83,20.906801007556677,62.738853503184714,49.622166246851386,89.67254408060454,13.116687256333329
Westworld,status,212,193,19,8.962264150943396,56.994818652849744,51.886792452830186,91.98113207547169,5.108026200019559
James Bond 007,status,1502,1333,169,11.251664447403462,47.78694673668417,42.41011984021305,66.6444740346205,5.3768268964711226
Sons of Anarchy,status,464,358,106,22.844827586206897,47.486033519553075,36.63793103448276,96.12068965517241,10.848102485070314
Mission: Impossible,status,83,75,8,9.63855421686747,44.0,39.75903614457831,0.0,4.24096385542169
Prison Break,status,252,28,224,88.88888888888889,42.857142857142854,4.761904761904762,66.26984126984127,38.095238095238095
Lost,status,1053,518,535,50.807217473884144,40.15444015444015,19.753086419753085,63.24786324786324,20.401353734687067
Stranger Things,status,78,77,1,1.2820512820512822,35.064935064935064,34.61538461538461,0.0,0.44955044955045054
Game of Thrones,dod_only,1384,1384,0,0.0,33.88728323699422,33.88728323699422,54.552023121387286,0.0
The Boys,status,70,59,11,15.714285714285714,32.20338983050848,27.142857142857142,60.0,5.060532687651335
DC Extended Universe,status,897,847,50,5.574136008918618,30.460448642266822,28.762541806020067,56.74470457079153,1.697906836246755
Avatar,status,527,411,116,22.011385199240987,29.927007299270073,23.33965844402277,40.22770398481973,6.587348855247303
Indiana Jones,dod_only,2134,2134,0,0.0,28.725398313027178,28.725398313027178,0.0,0.0
The Matrix,status,18,14,4,22.22222222222222,28.571428571428573,22.22222222222222,0.0,6.3492063492063515
Jurassic Park,status,4393,954,3439,78.28363305258365,27.77777777777778,6.032324152060095,10.653312087411791,21.745453625717683
Marvel Cinematic Universe,status,5187,4957,230,4.434162328899171,25.822069800282428,24.677077308656255,62.96510507036823,1.144992491626173
The Twilight Saga,dod_only,266,266,0,0.0,23.68421052631579,23.68421052631579,0.0,0.0
The Sopranos,status,283,283,0,0.0,22.968197879858657,22.968197879858657,94.34628975265018,0.0
Star Wars,dod_only,42271,42271,0,0.0,22.86200941543848,22.86200941543848,0.0,0.0
Breaking Bad / Better Call Saul,status,526,513,13,2.4714828897338403,22.417153996101366,21.863117870722434,99.23954372623575,0.5540361253789321
Pirates of the Caribbean,dod_only,665,665,0,0.0,21.654135338345863,21.654135338345863,0.0,0.0
Transformers,status,521,390,131,25.143953934740882,21.025641025641026,15.738963531669866,0.0,5.28667749397116
Dune,dod_only,463,463,0,0.0,20.950323974082075,20.950323974082075,48.38012958963283,0.0
Ozark,status,168,164,4,2.380952380952381,20.121951219512194,19.642857142857142,0.0,0.479094076655052
Harry Potter,dod_only,5121,5121,0,0.0,17.63327475102519,17.63327475102519,0.0,0.0
Fast & Furious,status,95,79,16,16.842105263157894,13.924050632911392,11.578947368421053,98.94736842105263,2.345103264490339
Grey's Anatomy,status,567,567,0,0.0,10.052910052910052,10.052910052910052,95.23809523809523,0.0
