char_id,name,franchise,is_character_1,is_character_2,appears_onscreen_1,appears_onscreen_2,dies_in_narrative_1,dies_in_narrative_2,rationale_1,rationale_2
e029e00d6e32,Tax,The Hunger Games,1,1,0,1,0,-1,Novel character from Hunger Games books,Hunger Games character with explicitly unknown fate
a9ca1aaefc68,Ronald Dominique,Dexter,1,0,0,0,0,0,"Only mentioned in Dexter Resurrection, not onscreen","Real historical serial killer, not fictional character"
2f3db1711711,Rick and Ryan,Breaking Bad / Better Call Saul,1,0,1,0,0,0,Actors in Better Call Saul TV series,"Group of characters (band owners), not individual"
57b121fcf2bc,Hagar,Mission: Impossible,1,1,1,0,0,0,Character in Mission Impossible film,Individual character without screen appearance evidence
9346a8d4f465,Brilliant Chang,Peaky Blinders,1,0,1,0,0,0,Character in Peaky Blinders TV series,Real historical figure adapted for fiction
c5195b37eb94,Sarah's lover,Lost,0,1,0,1,0,0,Unnamed background character in fantasy,"Lost unnamed character, appears on screen but undeveloped"
113af3844989,Dr. Wane,The Hunger Games,1,1,0,1,0,0,Hunger Games novel character,"Hunger Games film character, no death indicated"
606923737dd7,Aethelflaed,Vikings,1,0,1,0,0,0,"Historical figure in Vikings TV, died before narrative","Real historical figure, not fictional character"
c0a3a65c6727,Pontius,The Hunger Games,1,1,0,1,0,0,Hunger Games novel character,"Hunger Games character, no death indicated"
e2e5d5459e88,Kate (Awakening),Westworld,1,1,0,0,0,1,"VR game character, not film/TV",Westworld VR game character killed in narrative
fab2c5107fb2,LKUDI,Breaking Bad / Better Call Saul,1,1,0,0,0,-1,Unseen character in Better Call Saul,"Better Call Saul unseen character, unknown fate"
2e1aeb35fc33,Willy Armitage,Mission: Impossible,1,1,1,0,0,0,Character in Mission Impossible TV series,Mission Impossible character without screen evidence
0dfa3668432d,Pliny Harrington,The Hunger Games,1,1,0,1,0,0,Hunger Games novel character,"Hunger Games character, no death indicated"
d5bcd2f3a81e,William Suff,Dexter,1,0,0,0,0,0,Only mentioned in Dexter Resurrection,"Real historical serial killer, not fictional character"
645f82cfd5c9,Hank (Awakening),Westworld,1,1,0,0,0,1,VR game character only,Westworld antagonist killed multiple times in VR narrative
1e7f162fc76f,Ghost,The Boys,1,1,1,1,-1,0,Character in The Boys animated series,"The Boys animated character, survives killing"
0a77d4076c28,Edward,Vikings,1,0,1,0,0,0,Historical figure in Vikings TV,"Real historical figure, not fictional character"
c81c04002275,Nguyen,Lost,0,0,0,0,0,-1,"Just a surname and number, not individual character","Surname designation and candidate number, not individual character"
bf541f445ad0,Barman,Prison Break,0,1,1,1,0,0,Generic barman role; acts in episode but unnamed,Named minor character with actor credit in episode
33bd4c4149ed,Zamhil,Avatar,1,1,0,1,0,0,"Individual Na'vi; video game only, not film/TV",Named Na'vi character with actor credit
826c5813001e,FBI Agent,Sons of Anarchy,0,1,1,1,0,0,Generic FBI Agent role; appears one episode,Named FBI agent with actor credit appearing in episode
0a9dc44e8b6b,Hanscum Family,Supernatural,0,0,0,0,0,-1,"Family group, not individual character","Family group page, not individual character"
6b9e42e99cc6,Iris West (Flashpoint),DC Extended Universe,1,1,1,1,0,-1,"Individual character; actor credited, appears in Flash","Character erased from existence in alternate timeline, ambiguous final state"
f32e05caa1f2,Parks Supervisor,Breaking Bad / Better Call Saul,0,1,1,1,0,0,Generic supervisor role; unnamed generic character,Named supervisor with actor credit appearing on screen
a56dd6a1f80f,Leof,Vikings,1,1,1,1,-1,0,"Individual soldier; final season, unclear if dies",Named soldier with actor credit
0113378d1f90,Mysterious Figure,Lost,0,1,1,1,0,0,Unidentified mysterious figure; appears but not named,"Individual mysterious figure with actor credit, identity ambiguous"
ae8d0bb4e352,Jazz Dancer 10,Boardwalk Empire,0,1,1,1,0,0,Generic Jazz Dancer 10; background character type,Named minor character with actor credit
f0a5d07a783a,Q (Phil Proctor),James Bond 007,1,1,0,1,0,0,"Individual agent; video game only, not film/TV",Named MI6 quartermaster with actor credit in video game
7883a896d99a,Karmong,Avatar,1,1,0,1,0,0,"Individual Na'vi; video game only, not film/TV","Named Na'vi with actor credit, mother's death in backstory only"
e3670c6a4883,Demons,Supernatural,0,0,1,0,0,0,"Species type, not individual character","Creature species type, not individual character"
9d12ae152fdb,Burton,The Hunger Games,1,1,1,1,-1,0,Individual soldier; appears in Mockingjay film,Named soldier appearing in Hunger Games film
875317a2919d,Edmund Kemper,Dexter,1,0,0,0,0,0,Real historical killer; appears only as unseen reference,"Real historical serial killer, not fictional character"
ebd4242d8167,Galan,Vikings,1,1,1,1,-1,0,"Individual soldier; final season, unclear if dies",Named soldier with actor credit
ba661b18c176,Killer Croc Xenomorph Hybrid,Alien vs Predator,0,1,0,0,0,-1,"Hybrid creature type, not individual named character","Comic-only hybrid creature, fate unclear after killing creator"
5ed977fa8667,Kyker (DHARMA Initiative),Lost,0,1,0,0,-1,-1,"Generic DHARMA crew; unseen character, may have died","Unseen DHARMA staff member, fate ambiguous between death and escape"
90f64760da87,Royce's Assistant,The Wire,0,1,1,1,0,0,Generic assistant role; unnamed generic character,Named character with actor credit
d1c20d1d896f,Latino Man,Sons of Anarchy,0,1,1,1,0,0,"Generic character type; unnamed, generic role","Named character with actor credit, marked alive"
6447ddfba799,Werewolf,Supernatural,1,0,0,0,0,0,Individual alien; intended post-credits scene scrapped,"Creature species type, not individual character"
127f3730c54b,El Chapulín Colorado,DC Extended Universe,1,1,1,0,0,0,Character from fictional universe; appears as footage,"Character from Mexican TV show referenced in DCEU, not appearing directly on screen"
6ece6e2e841b,Salvatore Perrone,Dexter,1,0,0,0,0,0,"Real historical killer; unseen character, only mentioned","Real serial killer, not fictional character"
9782f279a0d7,Brian Ames,Westworld,0,0,1,0,0,0,"Entry about actor, not character; unclear character data","Real actor, not fictional character"
af4f8908b714,Thorbjorn,Vikings,1,1,1,1,-1,0,"Individual warrior; final season, unclear if dies",Named Viking warrior with actor credit
89b94706bea3,Beta and Alpha,Alien vs Predator,1,0,0,1,0,0,"Individual synthetics; only in novel, not film/TV","Pair of androids, not single individual character"
a29aefc0da17,Hooker 1,Boardwalk Empire,0,1,1,1,0,0,Generic hooker role; unnamed background character,Named character with actor credit
9ef33d227b8b,Entropy,Marvel Cinematic Universe,1,1,0,1,0,0,Individual cosmic entity; not in filmed work,"Cosmic entity depicted in MCU film, unclear if active character"
f5350dd063c1,Unnamed Correction Officer,Prison Break,0,1,0,1,0,0,Generic correction officer; unnamed generic role,Unnamed correction officer appearing in episode
12cf0c57d4c5,Namtet,Avatar,1,1,0,1,0,0,"Individual Na'vi; video game only, not film/TV",Named Na'vi character with actor credit
7ff8bd8aa4b1,Porn Girl Doctor,Sons of Anarchy,0,1,1,1,0,0,Generic porn star character; unnamed character type,"Named character with actor credit, marked alive"
d477585047d8,Redcaps,Supernatural,0,0,1,0,0,0,"Species type of fairy, not individual character","Fairy species type, not individual character"
797c0899cea3,Florus Friend,The Hunger Games,1,1,1,1,-1,0,"Individual mentor; book source, appears in film","Named mentor character from book/film, tribute dies not character"
fb90db0e4b3b,Dark Flash,DC Extended Universe,1,1,1,1,0,1,Individual future Flash variant; actor credited,"Named DC character erased from existence, counts as death"
801a793bd900,Dennis Rader,Dexter,1,0,0,0,0,0,Real historical killer; mentioned not shown in series,"Real serial killer Dennis Rader/BTK, not fictional character"
720561ec2743,Unidentified expedition member,Alien vs Predator,0,1,0,1,0,1,"Unidentified generic team member, not individual","Unnamed explorer attacked by xenomorph, likely killed"
8bd1d17ae362,British priest,Lost,0,1,1,1,0,0,Generic priest role; unnamed background character,Named character with actor credit in flashback
367cf4884ddb,PSNI Lieutenant,Sons of Anarchy,0,1,1,1,0,0,Generic officer role; unnamed military character,"Named character with actor credit, marked alive"
c3b0eb8fcbfc,Tinks,Supernatural,0,0,1,0,0,0,"Species type of fairy, not individual character","Fairy species type, not individual character"
f3bfddbeb2dc,District 12 doctor,The Hunger Games,0,1,1,1,0,0,Generic doctor role; unnamed generic character,Named doctor character in Hunger Games
e9a78a4724e2,Duncan Springer,Breaking Bad / Better Call Saul,1,1,1,0,0,0,"Individual student; actor credited, appears in Better Call Saul","Named student character, not appearing on screen in excerpted material"
087e7bc2fc86,Tiom Rordan,Star Wars,1,1,0,0,0,1,Novel character only: Legacy of the Force books,Character dies in narrative
dec2daea5e6b,Westenberg,Harry Potter,1,1,0,0,0,1,"Died before story: summer 1997, not filmed",Character dies in narrative
1e300f97b14d,Violet Austman,Indiana Jones,1,0,0,0,0,1,"Historical figure, not in films; suicide pre-1929",Not an individual character; real person or meta page
21bf03e984c8,Willem Frey,Game of Thrones,1,1,1,0,1,1,Game of Thrones season 7; supposedly murdered by Arya,Character dies in narrative
8244c1468b6c,Frór,Lord of the Rings,1,1,0,1,0,-1,Character appears in adaptations but death pre-story,Death status unclear; resurrection or unknown fate
b9bf197bb360,Stone-Eyed Sam,Pirates of the Caribbean,1,1,0,0,0,-1,"Novel/game appearances only, died before 1700s",Death status unclear; resurrection or unknown fate
dda20d5768a8,Korba,Dune,1,1,0,0,0,1,"Dune Messiah novel character, not filmed",Character dies in narrative
a8333a1f73c3,Rowena King,The Twilight Saga,1,1,0,0,0,1,"Mentioned character in novels, no film appearance",Character dies in narrative
67a97464d57e,Unidentified clone trooper captain (Hoth),Star Wars,1,0,0,0,0,1,"Unidentified soldier, video game only",Not an individual character; real person or meta page
a407dc810e22,Quong Po,Harry Potter,1,1,0,0,0,1,Historical figure mentioned in Harry Potter media,Character dies in narrative
