comparison,label,n,raw_agreement,kappa,band,coder1_positive_rate,coder2_positive_rate
pass1 vs pass2 (v1 rubric),is_character,600,0.745,0.26086956521739146,fair,0.875,0.7066666666666667
pass1 vs pass2 (v1 rubric),appears_onscreen,600,0.75,0.5103319949074527,moderate,0.55,0.42333333333333334
pass1 vs pass2 (v1 rubric),dies_in_narrative,600,0.6983333333333334,0.37709356215298495,fair,0.215,0.36
pass1 vs pass2 (v1 rubric),dies_in_narrative (both decided),554,0.7364620938628159,0.3936458911195407,fair,0.22563176895306858,0.38086642599277976
pass3 vs pass4 (v2 rubric),is_character,600,0.8816666666666667,0.5252318116975752,moderate,0.8466666666666667,0.8616666666666667
pass3 vs pass4 (v2 rubric),appears_onscreen,600,0.8066666666666666,0.5384309304330526,moderate,0.6916666666666667,0.7116666666666667
pass3 vs pass4 (v2 rubric),dies_in_narrative,600,0.8433333333333334,0.6662326902592024,substantial,0.34,0.24333333333333335
pass3 vs pass4 (v2 rubric),dies_in_narrative (both decided),560,0.8910714285714286,0.7402360384474999,substantial,0.3339285714285714,0.2571428571428571
automatic label vs coder 1,is_dead,296,0.9324324324324325,0.8623575912578471,almost perfect,0.42905405405405406,0.4358108108108108
automatic label vs coder 2,is_dead,405,0.8271604938271605,0.6519764301497667,substantial,0.4839506172839506,0.3950617283950617
