franchise,n_characters,n_communities,mortality,d_observed,d_null_mean,d_null_sd,z,p_permutation,modularity
Lost,390,23,0.4282051282051282,0.10850640432029435,-8.769027208873661e-05,0.007176411262969634,15.132089092041017,0.0004997501249375312,0.4053619422465483
Breaking Bad / Better Call Saul,511,24,0.22309197651663404,0.11532121426491015,-0.0002658973699277132,0.01247504671904441,9.265465231355211,0.0004997501249375312,0.4500274907723067
Dune,266,20,0.15037593984962405,0.117951532847133,6.596480583563525e-05,0.024095716843134073,4.8923868423897146,0.0004997501249375312,0.636890589569161
DC Extended Universe,554,12,0.3267148014440433,0.036243324416978306,-0.00011859244177535549,0.007699576658352939,4.72258650990976,0.0009995002498750624,0.6092706318044925
James Bond 007,982,14,0.45723014256619143,0.01160406334394537,-6.120075259817681e-05,0.002603931585289746,4.479865816154123,0.0014992503748125937,0.357183526881052
Game of Thrones,834,21,0.39448441247002397,0.01692122375225491,0.00013448848917057844,0.004000576597234372,4.196078953891078,0.0009995002498750624,0.4311857081732539
The 100,189,8,0.7301587301587301,0.059390539768707895,-0.00012776853506321872,0.015610070845683825,3.812814745823392,0.0034982508745627187,0.3405245089913719
The Boys,354,17,0.4943502824858757,0.018371761861422975,1.5955423465262742e-05,0.00507455258178745,3.617226571626557,0.008995502248875561,0.3173029466018976
Dexter,1063,24,0.3273753527751646,0.0219733787108648,9.295715049409515e-06,0.0061209317345196435,3.5883561438770206,0.0024987506246876563,0.3567950206364406
Sons of Anarchy,347,16,0.4697406340057637,0.020386640380483934,6.861891168054293e-05,0.006256730475040467,3.2473864025079293,0.011494252873563218,0.4139359704373135
Stranger Things,61,11,0.36065573770491804,0.12281999608853511,-0.00019612594916798632,0.038571859399526925,3.1892712447046785,0.011494252873563218,0.5690765380859375
Supernatural,300,7,0.6266666666666667,0.020061419135799285,-0.00018775513289642093,0.00830818295866761,2.4372566624294807,0.02448775612193903,0.2341805935082435
Westworld,185,9,0.5675675675675675,0.02361141200815786,0.0001204747781869974,0.011152024480337596,2.1064280545104888,0.03948025987006497,0.357408005530785
The Twilight Saga,98,9,0.25510204081632654,0.04906134183708044,-0.0002917206176631095,0.02567126774092515,1.9225019563823438,0.05147426286856572,0.4835714258782602
Vikings,186,15,0.6666666666666666,0.026886452244347936,4.4243596951659135e-05,0.015507313336860513,1.7309386909460964,0.05347326336831584,0.3668018946537433
Indiana Jones,412,14,0.28883495145631066,0.019996206150875606,-0.0002453843335456787,0.012455863506000626,1.6250652132363104,0.06696651674162919,0.3344116047202473
Star Wars,1824,11,0.28673245614035087,0.0035957826999879483,-4.111667282017134e-05,0.0031388534053304546,1.158671305462012,0.12843578210894552,0.3082846910881531
The Sopranos,271,17,0.23616236162361623,0.018942155649377734,0.0009568336456581766,0.016847724759847676,1.0675223070229078,0.14392803598200898,0.356689524924027
Boardwalk Empire,109,8,0.9908256880733946,0.014722825729146072,-0.0005249028902494936,0.016826991266895984,0.9061470572812783,0.25987006496751625,0.4403621291199747
Mission: Impossible,57,9,0.43859649122807015,0.016977731263445484,0.0013548462119890691,0.032911988162922776,0.4746867607669014,0.2893553223388306,0.3726506593639461
The Hunger Games,86,5,0.7209302325581395,0.011411362819129911,-0.0003579737504494803,0.02843014966345626,0.41397378166839344,0.2933533233383308,0.5023656316401077
Pirates of the Caribbean,239,13,0.28451882845188287,0.002354093078983266,-0.0003181936293234887,0.01666867790375743,0.16031785626527534,0.3843078460769615,0.3840677545252743
Jurassic Park,364,17,0.3159340659340659,-0.0001552473915293895,6.834881046231512e-05,0.010590164522658783,-0.021113572080329514,0.4752623688155922,0.4642094288180838
Alien vs Predator,446,31,0.6614349775784754,-0.00069130709844345,0.00030075805168526705,0.01226158280612239,-0.0809084084669203,0.4802598700649675,0.5899813115908836
Transformers,62,8,0.1774193548387097,-0.0047851544231811705,-0.0008939895617038004,0.045367358667636,-0.0857701434633715,0.5017491254372813,0.3987069432921492
Lord of the Rings,106,11,0.6981132075471698,-0.005268555446211187,0.0005555700005179491,0.032549933688432696,-0.17892894967091322,0.5217391304347826,0.6158875715760277
Harry Potter,535,29,0.17757009345794392,-0.007919875876766014,-0.00019740471820897104,0.020029524662744536,-0.38555438976148293,0.6341829085457271,0.4197888630066017
Avatar,154,9,0.44805194805194803,-0.0055750472689174435,-0.00012463898188290777,0.011094990675027679,-0.4912494698442762,0.6451774112943528,0.4958681279960393
Fast & Furious,79,6,0.13924050632911392,-0.05535506246543864,-0.0002888225251391838,0.042299615249042286,-1.3018142036539262,0.9195402298850575,0.5093506848578293
Spartacus,237,9,0.7341772151898734,-0.03219924637450411,0.0002942977218750358,0.013742580028311503,-2.36444277780724,1.0,0.3235928437716412
Ozark,146,81,0.19863013698630136,-0.12979092819132398,0.0012191700425539468,0.05399573845479144,-2.4263044081444995,0.9965017491254373,0.5753236887303474
Marvel Cinematic Universe,3489,21,0.28116938950988823,-0.012026427213907231,2.8930536542943253e-05,0.004967559717384858,-2.4268168751470283,0.9940029985007496,0.4054158655040245
Grey's Anatomy,550,53,0.09272727272727273,-0.02704785890907757,-0.00036000173053170315,0.010808176658868733,-2.4692284388826065,0.9965017491254373,0.483218106972946
