franchise,n_nodes,n_edges,n_communities,modularity,largest_community_share
Avatar,527,2334,55,0.4958681279960393,0.2125237191650854
Alien vs Predator,1737,9838,222,0.5895147497580655,0.17271157167530224
Boardwalk Empire,557,4544,11,0.4403621291199747,0.20646319569120286
Breaking Bad / Better Call Saul,526,2718,26,0.45032576872686453,0.28517110266159695
DC Extended Universe,897,6937,34,0.6092706318044925,0.20178372352285395
Dexter,1125,9559,26,0.35679502063644064,0.18488888888888888
Dune,463,1629,26,0.636890589569161,0.27429805615550756
Fast & Furious,95,458,6,0.5093506848578293,0.37894736842105264
Game of Thrones,1384,17562,27,0.43118570817325397,0.22254335260115607
Grey's Anatomy,567,2548,53,0.48321810697294604,0.164021164021164
Harry Potter,4954,40308,281,0.4198350846826588,0.2672587807832055
The Hunger Games,351,3196,9,0.5023656316401077,0.29914529914529914
Indiana Jones,2134,21383,25,0.33441160472024734,0.31443298969072164
James Bond 007,1502,15082,14,0.35718352688105204,0.15912117177097204
Jurassic Park,2420,17551,105,0.46420942881808386,0.19669421487603306
Lost,1053,6081,49,0.40536194224654837,0.14055080721747387
Lord of the Rings,521,2753,25,0.6151003667121312,0.16698656429942418
The Matrix,495,1082,136,0.5308057107140377,0.11717171717171718
Marvel Cinematic Universe,5186,98613,33,0.40541586550402453,0.1939838025453143
Mission: Impossible,83,293,15,0.3726506593639461,0.2289156626506024
Ozark,168,142,93,0.5753236887303474,0.10119047619047619
Peaky Blinders,61,577,5,0.1562431143961701,0.26229508196721313
Pirates of the Caribbean,665,5821,32,0.3840677545252743,0.19849624060150375
Prison Break,252,574,64,0.4596922679243764,0.14285714285714285
Sons of Anarchy,464,2926,43,0.41393597043731356,0.22844827586206898
The Sopranos,283,1355,17,0.35668952492402706,0.24381625441696114
Spartacus,251,1950,9,0.32359284377164127,0.26693227091633465
Star Wars,42268,1542321,297,0.3082846910881531,0.32168543579066905
Stranger Things,78,194,14,0.5690765380859375,0.2692307692307692
Supernatural,397,6357,7,0.23418059350824355,0.28967254408060455
The 100,208,1359,9,0.3405245089913719,0.2980769230769231
The Boys,427,3067,20,0.3173029466018976,0.24121779859484777
The Wire,275,1154,25,0.4389209504426326,0.1890909090909091
Transformers,521,6654,27,0.39870694329214923,0.22456813819577734
The Twilight Saga,266,1312,15,0.48357142587826024,0.20300751879699247
Vikings,210,1138,16,0.3668018946537433,0.26666666666666666
The Walking Dead,49,277,4,0.4899884482094725,0.32653061224489793
Westworld,212,1277,10,0.357408005530785,0.25943396226415094
