franchise,n,mortality,best_threshold,loss_at_best,loss_at_global,cost_of_global
Spartacus,237,0.7341772151898734,0.05,0.26582278481012656,0.5822784810126582,0.31645569620253167
The Hunger Games,86,0.7209302325581395,0.05,0.27906976744186046,0.627906976744186,0.3488372093023256
Alien vs Predator,446,0.6614349775784754,0.1,0.336322869955157,0.6928251121076233,0.35650224215246634
The Matrix,47,0.6382978723404256,0.22,0.3404255319148936,0.7872340425531915,0.4468085106382979
James Bond 007,982,0.45723014256619143,0.24,0.46130346232179226,0.5529531568228105,0.09164969450101829
The Boys,354,0.4943502824858757,0.26,0.4576271186440678,0.6779661016949152,0.22033898305084743
Supernatural,300,0.6266666666666667,0.26,0.3566666666666667,1.0133333333333334,0.6566666666666667
Lord of the Rings,106,0.6981132075471698,0.3,0.2830188679245283,0.5660377358490566,0.2830188679245283
DC Extended Universe,554,0.3267148014440433,0.33,0.427797833935018,0.5595667870036101,0.13176895306859204
Westworld,185,0.5675675675675675,0.35,0.31351351351351353,0.572972972972973,0.2594594594594595
Peaky Blinders,43,0.5581395348837209,0.37,0.4186046511627907,0.5581395348837209,0.1395348837209302
Lost,390,0.4282051282051282,0.39,0.3076923076923077,0.4512820512820513,0.14358974358974358
Dexter,1063,0.3273753527751646,0.4,0.6180620884289746,0.6425211665098777,0.024459078080903085
Star Wars,1824,0.28673245614035087,0.43,0.6151315789473685,0.6359649122807017,0.02083333333333326
Game of Thrones,834,0.39448441247002397,0.44,0.5047961630695443,0.5107913669064749,0.005995203836930529
Marvel Cinematic Universe,3489,0.28116938950988823,0.47,0.4445399828030954,0.4637431928919461,0.019203210088850675
Harry Potter,535,0.17757009345794392,0.49,0.411214953271028,0.4261682242990654,0.014953271028037396
Stranger Things,61,0.36065573770491804,0.49,0.4918032786885246,0.4918032786885246,0.0
Ozark,146,0.19863013698630136,0.53,0.2534246575342466,0.2876712328767123,0.034246575342465724
Pirates of the Caribbean,239,0.28451882845188287,0.55,0.5271966527196653,0.5690376569037657,0.04184100418410042
Grey's Anatomy,550,0.09272727272727273,0.64,0.27090909090909093,0.39636363636363636,0.12545454545454543
Transformers,62,0.1774193548387097,0.69,0.43548387096774194,0.5967741935483871,0.16129032258064518
