cost_ratio,threshold,loss,FN,FP
0.5,0.05,0.6477987421383647,0,8137
0.5,0.06,0.6445346708064644,0,8096
0.5,0.07,0.638961866093464,0,8026
0.5,0.08,0.630682270519863,0,7922
0.5,0.09,0.6228007324257623,2,7822
0.5,0.1,0.6161929782660616,4,7738
0.5,0.11,0.6106201735530611,6,7667
0.5,0.12,0.6063211527744606,10,7611
0.5,0.13,0.6004299020778601,16,7534
0.5,0.14,0.5951755433484596,24,7464
0.5,0.15,0.5893240983998089,43,7381
0.5,0.16,0.5826367327442082,59,7289
0.5,0.17,0.5760687843324576,74,7199
0.5,0.18,0.5708542313510071,89,7126
0.5,0.19,0.5648037576626065,101,7044
0.5,0.2,0.5584746437385558,114,6958
0.5,0.21,0.5529018390255553,124,6883
0.5,0.22,0.5475280630523047,137,6809
0.5,0.23,0.5417164238516041,147,6731
0.5,0.24,0.5352678926837036,161,6643
0.5,0.25,0.5286601385240028,181,6550
0.5,0.26,0.5230873338110024,187,6477
0.5,0.27,0.5173951118541518,204,6397
0.5,0.28,0.509672796751851,214,6295
0.5,0.29,0.5014728126741501,224,6187
0.5,0.3,0.4928349653689993,233,6074
0.5,0.31,0.48511265026669853,243,5972
0.5,0.32,0.47854470185494785,256,5883
0.5,0.33,0.47249422816654724,274,5798
0.5,0.34,0.4659660855027466,292,5707
0.5,0.35,0.4590000796114959,321,5605
0.5,0.36,0.4518748507284452,342,5505
0.5,0.37,0.4447894275933445,366,5404
0.5,0.38,0.43647002627179365,397,5284
0.5,0.39,0.4279117904625428,436,5157
0.5,0.4,0.4192739431573919,467,5033
0.5,0.41,0.410277844120691,513,4897
0.5,0.42,0.39996815540164,560,4744
0.5,0.43,0.3920468115595892,627,4611
0.5,0.44,0.3816177055966882,697,4445
0.5,0.45,0.37059151341453705,764,4273
0.5,0.46,0.35864978902953587,836,4087
0.5,0.47,0.3489769922776849,901,3933
0.5,0.48,0.33743332537218373,991,3743
0.5,0.49,0.32648674468593264,1084,3559
0.5,0.5,0.3120770639280312,1192,3324
0.5,0.51,0.30049359127458003,1307,3121
0.5,0.52,0.29149749223787913,1425,2949
0.5,0.53,0.28074994029137806,1531,2761
0.5,0.54,0.2711169492874771,1639,2586
0.5,0.55,0.26152376403152616,1770,2400
0.5,0.56,0.2528859167263753,1893,2230
0.5,0.57,0.2427752567470743,2021,2039
0.5,0.58,0.23409760369397342,2159,1861
0.5,0.59,0.22557917363267255,2285,1691
0.5,0.6,0.21877239073322188,2426,1535
0.5,0.61,0.21288114003662129,2566,1391
0.5,0.62,0.2069102778441207,2708,1245
0.5,0.63,0.20042194092827004,2851,1092
0.5,0.64,0.19612292014966962,2997,965
0.5,0.65,0.19381418676856937,3157,856
0.5,0.66,0.190032640713319,3294,740
0.5,0.67,0.1879229360719688,3427,647
0.5,0.68,0.1860520659183186,3558,558
0.5,0.69,0.18223071411511824,3654,462
0.5,0.7,0.18143459915611815,3782,388
0.5,0.71,0.17928508876681792,3896,304
0.5,0.72,0.17713557837751773,3978,236
0.5,0.73,0.1757821829472176,4058,179
0.5,0.74,0.1749462622402675,4143,126
0.5,0.75,0.17502587373616751,4213,92
0.5,0.76,0.17502587373616751,4263,67
0.5,0.77,0.17474723350051746,4302,44
0.5,0.78,0.17450839901281745,4322,31
0.5,0.79,0.17418995302921741,4344,16
0.5,0.8,0.1741501472812674,4359,8
0.5,0.81,0.17422975877716743,4369,4
0.5,0.82,0.17446859326486744,4379,2
0.5,0.83,0.17458801050871744,4382,2
0.5,0.84,0.17466762200461747,4386,1
0.5,0.85,0.17470742775256748,4389,0
0.5,0.86,0.17478703924846747,4391,0
0.5,0.87,0.17482684499641749,4392,0
0.5,0.88,0.17482684499641749,4392,0
0.5,0.89,0.1748666507443675,4393,0
0.5,0.9,0.1748666507443675,4393,0
0.5,0.91,0.1748666507443675,4393,0
0.5,0.92,0.1748666507443675,4393,0
0.5,0.93,0.1748666507443675,4393,0
0.5,0.94,0.1748666507443675,4393,0
0.5,0.95,0.1748666507443675,4393,0
