regime,features,fold,pr_auc
random,franchise,0,0.5692011927004749
random,franchise,1,0.5421557436796822
random,franchise,2,0.5424361919262466
random,franchise,3,0.5565145206256074
random,franchise,4,0.5374519788747099
random,character,0,0.6346409433811802
random,character,1,0.6509157733905916
random,character,2,0.6174584243376459
random,character,3,0.638309007373974
random,character,4,0.6309764299899148
random,character_no_wiki_meta,0,0.5891363884678189
random,character_no_wiki_meta,1,0.6055934800322839
random,character_no_wiki_meta,2,0.5735627423307776
random,character_no_wiki_meta,3,0.5987036864089639
random,character_no_wiki_meta,4,0.5898223250340563
random,both,0,0.7080729128865935
random,both,1,0.6978540224407693
random,both,2,0.6848458616156163
random,both,3,0.6953246171890503
random,both,4,0.677374731213125
random,network,0,0.6300846946772758
random,network,1,0.6214691843581863
random,network,2,0.6240194971009054
random,network,3,0.6391917459819677
random,network,4,0.6078425661790414
random,character+network,0,0.6832304719426534
random,character+network,1,0.6818801055816359
random,character+network,2,0.6719674339478114
random,character+network,3,0.6988962846165934
random,character+network,4,0.6714310404775934
random,community,0,0.5879581258164159
random,community,1,0.596459720060194
random,community,2,0.5871976480775722
random,community,3,0.5937582938601091
random,community,4,0.5729050466803363
random,character+community,0,0.6793569005671873
random,character+community,1,0.6901798950865256
random,character+community,2,0.6583301071713518
random,character+community,3,0.6784876366806608
random,character+community,4,0.6739247786025077
random,character+network+community,0,0.6932064728034072
random,character+network+community,1,0.6953264915264822
random,character+network+community,2,0.6776439716556353
random,character+network+community,3,0.7033948002130327
random,character+network+community,4,0.6826640961835234
random,text,0,0.6502723908807695
random,text,1,0.6308561721868116
random,text,2,0.6441015415335407
random,text,3,0.6569063284539254
random,text,4,0.656839526613306
random,character+text,0,0.7071833596956112
random,character+text,1,0.7004372072881788
random,character+text,2,0.6814588667333688
random,character+text,3,0.6944324404600364
random,character+text,4,0.707266688124891
random,rich,0,0.7615789885291255
random,rich,1,0.7386362386045522
random,rich,2,0.73469754346355
random,rich,3,0.7558424573524677
random,rich,4,0.7343214379142904
grouped,franchise,0,0.28116938950988823
grouped,franchise,1,0.47145848843299454
grouped,franchise,2,0.4723733111413163
grouped,franchise,3,0.3811398909032871
grouped,franchise,4,0.3514313704374981
grouped,character,0,0.4683862691143862
grouped,character,1,0.49836184059036415
grouped,character,2,0.4498868493379019
grouped,character,3,0.5289873781662418
grouped,character,4,0.5343316692441274
grouped,character_no_wiki_meta,0,0.4451550896434253
grouped,character_no_wiki_meta,1,0.5149937092556404
grouped,character_no_wiki_meta,2,0.48668982371020875
grouped,character_no_wiki_meta,3,0.5543362534142968
grouped,character_no_wiki_meta,4,0.5423801133742037
grouped,both,0,0.4426257930604002
grouped,both,1,0.5196912824156028
grouped,both,2,0.5286098627776591
grouped,both,3,0.47510868342498014
grouped,both,4,0.5316374611925684
grouped,network,0,0.3750406393013176
grouped,network,1,0.5349159239221001
grouped,network,2,0.472383771854637
grouped,network,3,0.5532977328223267
grouped,network,4,0.4469405105730989
grouped,character+network,0,0.45844339409620677
grouped,character+network,1,0.6012829926939613
grouped,character+network,2,0.5139862081448497
grouped,character+network,3,0.5577133564227568
grouped,character+network,4,0.5100474208269512
grouped,community,0,0.32304408193876155
grouped,community,1,0.5401425307526083
grouped,community,2,0.4473450063145341
grouped,community,3,0.49845757100750926
grouped,community,4,0.45197691467946116
grouped,character+community,0,0.4266127569242747
grouped,character+community,1,0.5816531422043092
grouped,character+community,2,0.4900949660530571
grouped,character+community,3,0.5281347829099948
grouped,character+community,4,0.539564220690899
grouped,character+network+community,0,0.4282381068866278
grouped,character+network+community,1,0.603694885320728
grouped,character+network+community,2,0.5199559515769641
grouped,character+network+community,3,0.558890319119449
grouped,character+network+community,4,0.5189122258694255
grouped,text,0,0.47997073158585224
grouped,text,1,0.501110474352813
grouped,text,2,0.48193445553227365
grouped,text,3,0.6088341028966823
grouped,text,4,0.4744031081679101
grouped,character+text,0,0.5377542287196807
grouped,character+text,1,0.530456874183128
grouped,character+text,2,0.5180922831039425
grouped,character+text,3,0.6058047003657135
grouped,character+text,4,0.544872490714326
grouped,rich,0,0.49658307548285163
grouped,rich,1,0.6271798049693894
grouped,rich,2,0.5914102477160244
grouped,rich,3,0.5564334749760452
grouped,rich,4,0.5954730296471125
