estimate,n,odds_ratio,ci_low,ci_high,p_value,pp_change,raw_male,raw_female
Alien vs Predator,437,0.3789042255622373,0.23021721528833305,0.6236215305145973,0.00013483106144080914,-20.651806817520757,70.42682926829268,50.45871559633027
Jurassic Park,341,0.29223218516021743,0.14919591564381868,0.5723993828852096,0.00033514871373482505,-20.09930845946626,39.83402489626556,14.000000000000002
Sons of Anarchy,330,0.4353161182689059,0.22591061881656183,0.8388278683729389,0.012950998502817914,-19.078958495061897,51.301115241635685,31.147540983606557
Lost,321,0.4494529257802654,0.26217145509768397,0.7705184090967244,0.0036391182103063225,-18.39228601252059,53.98230088495575,33.68421052631579
Ozark,143,0.1865985506383418,0.0471313190296348,0.7387660650540382,0.016792208307958946,-17.771106081038372,27.083333333333332,6.382978723404255
Breaking Bad / Better Call Saul,428,0.26656057849990816,0.10190256557875657,0.6972792255685691,0.007040978075734093,-16.94142031626074,28.818443804034583,6.172839506172839
Vikings,143,0.47988957510171637,0.20022862107540493,1.1501552727798015,0.09970683350340498,-16.37599724759658,70.27027027027027,53.125
Game of Thrones,660,0.5138785391193473,0.33140919403788965,0.7968129964953344,0.0029310058766225974,-14.644615032389302,47.05882352941176,30.82706766917293
Pirates of the Caribbean,239,0.4235096654465677,0.10898810362112536,1.6456882060281852,0.21474082097271519,-13.384930361282828,30.51643192488263,11.538461538461538
Marvel Cinematic Universe,3443,0.4802595737575187,0.4005609947263775,0.5758155717166362,2.341145553060346e-15,-12.931287272857464,32.31162196679438,18.921389396709323
Dune,214,0.3495506553508633,0.11858321375157421,1.0303790628595273,0.05668844013318685,-10.300421866823303,20.689655172413794,13.043478260869565
Lord of the Rings,104,0.6134028750205099,0.2036715835168118,1.8474010001123662,0.3849385015183977,-9.814870822409178,72.28915662650603,61.904761904761905
Star Wars,2359,0.5910316867527357,0.4668954642772385,0.7481727313126381,1.2321966059336933e-05,-9.602462273933181,31.204481792717086,20.209059233449477
Westworld,179,0.6925480443121032,0.3398148750993086,1.411423774607725,0.3118560471412931,-8.165334429572225,61.29032258064516,47.27272727272727
Supernatural,265,0.8547980475006165,0.47510768019391614,1.537924416866168,0.6005850868030695,-3.2528058295979942,66.66666666666666,60.75949367088608
DC Extended Universe,549,0.8585877618685284,0.566905619218646,1.3003451012647194,0.47158516217451707,-2.9750725304542693,34.49197860962567,29.142857142857142
The Sopranos,267,0.9515845498392435,0.3631087472089738,2.4937795149606274,0.9195829465580341,-0.7518153204588747,27.17948717948718,13.88888888888889
Grey's Anatomy,461,0.9418887946329847,0.4888270116938461,1.814863909383969,0.8580131380043245,-0.5168383184108805,10.526315789473683,9.345794392523365
Avatar,149,0.9822781298065961,0.4870941421193053,1.9808703099944402,0.9601509771451225,-0.4115128775747772,45.97701149425287,45.16129032258064
