franchise,n_nodes,pair_agreement,modularity_mean,modularity_sd
Avatar,527,0.9256210190509453,0.49280658175573366,0.00498256801834237
Alien vs Predator,1737,0.9432640332709237,0.5894714136901674,0.0018682076309108424
Boardwalk Empire,557,0.9119107555544094,0.4372281313690312,0.0025165846257853377
Breaking Bad / Better Call Saul,526,0.9068600095418468,0.45484912907095004,0.0036538406289955694
DC Extended Universe,897,0.9506801440202632,0.6079505963971555,0.0023186740474144193
Dexter,1125,0.9104015802469136,0.35404551415812513,0.002345250272735667
Dune,463,0.9505282946694719,0.6395997278911565,0.002380775697580066
Fast & Furious,95,0.9578504155124653,0.5080963820861272,0.0023300619442067115
Game of Thrones,1384,0.931605424504661,0.43604176009040485,0.002625181189564376
Grey's Anatomy,567,0.9338055112305554,0.49040313711500244,0.004042219794186801
Harry Potter,4954,0.9220491175251556,0.41949216568642245,0.0012852512888312797
The Hunger Games,351,0.9881689272002664,0.5024740724868126,0.00013756512627604184
Indiana Jones,2134,0.8783702785007144,0.33717801733491937,0.0018630143342514593
James Bond 007,1502,0.8926728853317636,0.3648673570528344,0.004165253374118394
Jurassic Park,2420,0.9166065159483642,0.463561682062104,0.002049189472945582
Lost,1053,0.9296596618533941,0.4034088211269654,0.0015033273528667279
Lord of the Rings,521,0.9488183435811097,0.6128997716826052,0.0015367378764348809
The Matrix,495,0.9698969492908887,0.5304261325337135,0.004479920912505839
Marvel Cinematic Universe,5186,0.9070032953832061,0.40680613827194356,0.0022445797769549453
Mission: Impossible,83,0.9967484395412975,0.37248113192169136,0.0003390548845094265
Ozark,168,1.0,0.5753236887303474,0.0
Peaky Blinders,61,0.8040311744154796,0.15937159892901734,0.0028246883370184033
Pirates of the Caribbean,665,0.9086103227994797,0.38536760178233076,0.003069060377007765
Prison Break,252,0.9437200806248427,0.46121228301011297,0.0022310746514558736
Sons of Anarchy,464,0.8994667806183114,0.4118987003268235,0.003342438386436044
The Sopranos,283,0.9045012423678657,0.35886865411479263,0.0017456432322002842
Spartacus,251,0.8761543467564007,0.32872958619178494,0.004470811657978782
Star Wars,42268,0.8850830965544441,0.31751268924184184,0.0048265065545460215
Stranger Things,78,0.9647600262984879,0.5687896728515625,0.0012808078840445543
Supernatural,397,0.863611849577118,0.23337826054527464,0.00214484456730664
The 100,208,0.8517936390532543,0.34887411804798396,0.004485645413705943
The Boys,427,0.8735209429108919,0.32393287901037005,0.0077474680316078305
The Wire,275,0.9220945454545454,0.440950792243629,0.004985915311214334
Transformers,521,0.931476821850789,0.4018621559136622,0.001826963952218194
The Twilight Saga,266,0.9081406523828368,0.4809301413662048,0.002777298555193651
Vikings,210,0.8880362811791382,0.35873066970746903,0.004721208101484013
The Walking Dead,49,0.9580174927113703,0.48687890962721864,0.004674775328304311
Westworld,212,0.9028123887504451,0.36125216510350217,0.00293131517584159
