regime,features,model,pr_auc,roc_auc,precision,recall,TP,FP,FN,TN
random,baseline:majority,-,0.3423397361721824,0.5,,0.0,0,0,5917,11367
random,baseline:prior,-,0.3422650535983962,0.4998458188335016,,0.0,0,0,5917,11367
random,franchise,logistic,0.5494350017381021,0.671220103368585,0.5358752817430503,0.48217001859050196,2853,2471,3064,8896
random,franchise,tree,0.5055177213639297,0.6622118865829065,0.5372088619579625,0.4794659455805307,2837,2444,3080,8923
random,franchise,forest,0.5504567433836807,0.6719286230704475,0.5358752817430503,0.48217001859050196,2853,2471,3064,8896
random,character,logistic,0.5989185117468452,0.7361256910442255,0.5265334252239835,0.6455974311306405,3820,3435,2097,7932
random,character,tree,0.5578700125384546,0.7288683671823438,0.5151068533529846,0.7088051377387189,4194,3948,1723,7419
random,character,forest,0.6647512574535905,0.7878166220648949,0.5848108747044918,0.6689200608416427,3958,2810,1959,8557
random,both,logistic,0.6889517295618488,0.7983422669945299,0.5998568360773086,0.7081291194862261,4190,2795,1727,8572
random,both,tree,0.6002239193114765,0.7565759271101623,0.5555555555555556,0.6853135034645935,4055,3244,1862,8123
random,both,forest,0.7189900206411266,0.8236671406139227,0.6354473561792526,0.6925806996788914,4098,2351,1819,9016
grouped,baseline:majority,-,0.3423397361721824,0.5,,0.0,0,0,5917,11367
grouped,baseline:prior,-,0.29883676855595265,0.4041771186852572,,0.0,0,0,5917,11367
grouped,franchise,logistic,0.36568210363427045,0.5329572279290811,0.395746801794318,0.4025688693594727,2382,3637,3535,7730
grouped,franchise,tree,0.35653976349226973,0.5082343522210615,0.3226309226932668,0.34983944566503294,2070,4346,3847,7021
grouped,franchise,forest,0.36706710218344074,0.5387824362346021,0.4126370083816892,0.43265168159540307,2560,3644,3357,7723
grouped,character,logistic,0.532941254685746,0.6883632128851327,0.4839668994052237,0.6325840797701537,3743,3991,2174,7376
grouped,character,tree,0.48816700573368293,0.6748841734430182,0.4695921774385881,0.6655399695791786,3938,4448,1979,6919
grouped,character,forest,0.49218736468531854,0.6873304815616051,0.49787655719139295,0.5943890485043096,3517,3547,2400,7820
grouped,both,logistic,0.5239119389883581,0.6815391276935111,0.5066688896298767,0.513604867331418,3039,2959,2878,8408
grouped,both,tree,0.47629786671448326,0.6715916249682439,0.48623853211009177,0.5732634781139091,3392,3584,2525,7783
grouped,both,forest,0.495762452903576,0.6830166055197838,0.5031621163041802,0.5512928849078925,3262,3221,2655,8146
