regime,features,reference,mean_pr_auc,reference_pr_auc,mean_difference,se_difference,folds_won,n_folds,p_wilcoxon
random,franchise,character,0.5495519255613441,0.6344601156946613,-0.0849081901333171,0.00751530986757103,0,5,0.0625
random,character_no_wiki_meta,character,0.5913637244547801,0.6344601156946613,-0.04309639123988116,0.0011694615411048488,0,5,0.0625
random,both,character,0.6926944290690309,0.6344601156946613,0.058234313374369594,0.005403359696967376,5,5,0.0625
random,network,character,0.6245215376594754,0.6344601156946613,-0.009938578035185941,0.006974908240122815,2,5,0.4375
random,character+network,character,0.6814810673132575,0.6344601156946613,0.04702095161859623,0.005213005372799242,5,5,0.0625
random,community,character,0.5876557668989255,0.6344601156946613,-0.046804348795735765,0.004818080961795878,0,5,0.0625
random,character+community,character,0.6760558636216466,0.6344601156946613,0.04159574792698535,0.0009882866679112158,5,5,0.0625
random,character+network+community,character,0.6904471664764161,0.6344601156946613,0.05598705078175488,0.00360249370335318,5,5,0.0625
random,text,character,0.6477951919336706,0.6344601156946613,0.013335076239009359,0.008608786999635937,4,5,0.3125
random,character+text,character,0.6981557124604173,0.6344601156946613,0.06369559676575595,0.00497608881449931,5,5,0.0625
random,rich,character,0.7450153331727971,0.6344601156946613,0.11055521747813588,0.006838056541518791,5,5,0.0625
grouped,franchise,character,0.39151449008499684,0.4959908012906043,-0.10447631120560744,0.04302004887750252,1,5,0.125
grouped,character_no_wiki_meta,character,0.508710997879555,0.4959908012906043,0.012720196588950693,0.010171262459764564,4,5,0.3125
grouped,both,character,0.49953461657424214,0.4959908012906043,0.00354381528363783,0.022542448214828873,2,5,1.0
grouped,network,character,0.4765157156946961,0.4959908012906043,-0.019475085595908225,0.02905815918006135,3,5,0.8125
grouped,character+network,character,0.5282946744369451,0.4959908012906043,0.03230387314634088,0.023449475004919885,3,5,0.3125
grouped,community,character,0.45219322093857484,0.4959908012906043,-0.04379758035202941,0.03240345113601069,1,5,0.3125
grouped,character+community,character,0.513211973756507,0.4959908012906043,0.017221172465902677,0.0210290543092579,3,5,0.625
grouped,character+network+community,character,0.525938297754639,0.4959908012906043,0.029947496464034586,0.026706073017520943,3,5,0.4375
grouped,text,character,0.5092505745071062,0.4959908012906043,0.013259773216501958,0.02264578081584046,4,5,0.4375
grouped,character+text,character,0.5473961154173581,0.4959908012906043,0.051405314126753865,0.012832506577339097,5,5,0.0625
grouped,rich,character,0.5734159265582847,0.4959908012906043,0.07742512526768033,0.024429801670367852,5,5,0.0625
