term,coefficient
antagonist,3.705359457679028
season,1.9244706987416118
command,1.8145948995918182
background,1.462407082025543
hydra,1.3414818879547483
original,1.2377929588935597
recurring,1.2113891428309636
island,1.1568493038366063
male,1.0976380712244493
games,1.0138991200947114
james,0.9413043018015375
criminal,0.9224062075929534
military,0.8487323130435428
personality,0.8446736612341968
outside,0.8423527592736558
member,0.8353848708679497
aboard,0.8281590737666371
close,0.7859747512000724
fisk,0.7693458195477222
men,0.749545220537816
appearance,0.74107140834403
led,0.7379866792747837
hair,0.7330104393740835
rest,0.727525573439627
showtime,0.6979724592177535
commander,0.68361444300233
played,0.6806017729163133
unnamed,0.6755760641107706
point,0.6665005122529832
early,0.6568209570877895
dark,0.6455126738402667
born,0.6405609461673565
served,0.6363964815551686
leader,0.5860986535900201
ship,0.5663895938646214
appeared,0.5456368535561901
crime,0.5385831416232613
boys,0.5384827504730172
empire,0.5287863624613981
head,0.48679845852003295
attack,0.4830278056974323
main,0.4558456817691229
long,0.4268314361310369
brother,0.41968647932690367
amazon,0.4102911932536074
married,0.3908086006457333
earth,0.3873887760104767
film,0.36924541757555635
escape,0.36754507231819755
children,0.3460826803066051
mentioned,0.3436384942135914
company,0.3426557639220997
members,0.33067150255499367
named,0.3180910957413751
working,0.3177443570841767
king,0.3138453498357155
war,0.3046310074138445
age,0.3005435045714545
seven,0.284591041535898
crew,0.2617425926763839
john,0.26105022704276565
began,0.252320627288155
mission,0.2415922574911148
game,0.22488660559152648
sons,0.21647276365381385
wife,0.20612234094328255
thumb,0.1980727719364679
prison,0.1963664993545722
great,0.19576495811816613
sam,0.1895327889132058
eyes,0.18833539002832544
notes,0.18804956744958753
away,0.1809456594225227
actor,0.1747697325856252
sent,0.16175960236893425
taken,0.14763296258806138
agent,0.14649654858883684
hand,0.1410864870790718
jedi,0.13672794265207242
father,0.12903096324377075
alongside,0.12556020074991533
army,0.12531436638711616
force,0.12451633709815836
soldier,0.12269446011044063
york,0.11669638811757285
used,0.10953233364196352
life,0.10558356987162071
hired,0.10325351326361006
lived,0.09968713809734513
end,0.09697422207654219
prior,0.09244171611655158
son,0.08997504677230345
forces,0.0839929430093265
present,0.07631857558807108
wars,0.07195844127828473
fellow,0.070912326565071
black,0.042227953192407436
known,0.04096985508397888
young,0.03960838480044126
man,0.032080804690320305
hunter,0.013080916437677791
years,0.012427560299477653
park,0.0026626572387165514
mike,0.0015195189930792955
blood,-0.0011181168307293145
later,-0.0019635426314638703
held,-0.004428022311848364
captured,-0.005583506484621864
secret,-0.009188603841977491
way,-0.015194601634658939
old,-0.01936236406716645
watch,-0.022197715402131335
republic,-0.02773529071592372
american,-0.02942133096033808
master,-0.03347296217726683
high,-0.054226216596449196
husband,-0.05607836077505467
despite,-0.07735248494723716
tried,-0.0837561538535937
woman,-0.08655587689173513
video,-0.09061458314824783
character,-0.09175134461249045
queen,-0.10018185934952004
clan,-0.10287443367364024
clone,-0.1097870996174084
stark,-0.11695261568433343
security,-0.13089340332616548
people,-0.1710987726049274
world,-0.17907966034815953
little,-0.1941083917119987
mr,-0.19413423704253394
