franchise,n_characters,n_dead,n_unlabelled,mortality,ci_low,ci_high,mortality_upper,mortality_adjusted,female_ratio,median_billing,n_titles,n_tv,first_year,last_year,mean_rating,mean_popularity,total_seasons,total_episodes,run_span,genre,medium,content_rating
The Walking Dead,44,35,0,79.54545454545455,65.49913631816678,88.8468721765324,79.54545454545455,79.54545454545455,0.2727272727272727,570.0,2,2,2010.0,2023.0,7.993,99.61035000000001,14.0,199.0,13.0,Horror,TV,TV-MA
Spartacus,242,176,3,72.72727272727273,66.79355533016673,77.95070276122222,73.96694214876032,72.83264462809917,0.13389121338912133,509.0,2,2,2010.0,2025.0,7.6579999999999995,53.1456,4.0,43.0,15.0,Historical,TV,TV-MA
The 100,190,138,1,72.63157894736842,65.8905173462751,78.47560427055019,73.15789473684211,72.67631578947369,0.37566137566137564,568.0,1,1,2014.0,2014.0,7.9,60.6451,7.0,100.0,0.0,Dystopian,TV,TV-14
The Hunger Games,89,63,2,70.78651685393258,60.63629876750216,79.21652582836865,73.03370786516854,70.97752808988764,0.40229885057471265,26.0,4,0,2012.0,2015.0,7.09225,15.20735,0.0,0.0,3.0,Dystopian,Film,PG-13
Lord of the Rings,106,74,0,69.81132075471699,60.50518290746324,77.73169638052964,69.81132075471699,69.81132075471699,0.19811320754716982,25.0,4,1,2001.0,2022.0,8.14925,54.68845,3.0,24.0,21.0,Fantasy,Film,PG-13
Vikings,192,124,6,64.58333333333333,57.59281576415396,71.00172186217262,67.70833333333333,64.84895833333333,0.17204301075268819,614.0,2,2,2013.0,2022.0,7.857,75.30905,9.0,113.0,9.0,Historical,TV,TV-MA
Dexter,252,161,29,63.888888888888886,57.79087211507542,69.56980730531593,75.39682539682539,64.8670634920635,0.0,664.5,2,2,2006.0,2025.0,8.386500000000002,74.73625,10.0,106.0,19.0,Crime,TV,TV-MA
Peaky Blinders,11,7,0,63.63636363636363,35.37967768916373,84.83377638586862,63.63636363636363,63.63636363636363,0.09090909090909091,501.0,1,1,2013.0,2013.0,8.525,77.3168,6.0,36.0,0.0,Crime,TV,TV-MA
Alien vs Predator,517,297,63,57.4468085106383,53.14530970424119,61.63845564783516,69.63249516441006,58.4825918762089,0.24008810572687225,8.0,10,0,1979.0,2025.0,7.0009,20.136779999999998,0.0,0.0,46.0,Sci-Fi/Horror,Film,R
Westworld,200,105,15,52.5,45.597270710507,59.308499259901396,60.0,53.1375,0.2972972972972973,616.0,1,1,2016.0,2016.0,8.019,46.5096,4.0,36.0,0.0,Sci-Fi,TV,TV-MA
Supernatural,365,188,65,51.50684931506849,46.390677088261775,56.59163293316748,69.31506849315069,53.02054794520548,0.2633333333333333,1353.0,1,1,2005.0,2005.0,8.314,191.9333,15.0,327.0,0.0,Fantasy,TV,TV-14
The Matrix,4,2,0,50.0,15.003570882017147,84.99642911798286,50.0,50.0,0.0,12.5,4,0,1999.0,2021.0,7.11475,22.798199999999998,0.0,0.0,22.0,Sci-Fi,Film,R
Mission: Impossible,59,25,2,42.3728813559322,30.61253228310244,55.065744527163375,45.76271186440678,42.66101694915254,0.3157894736842105,7.0,8,0,1996.0,2025.0,7.050625,16.182025,0.0,0.0,29.0,Action,Film,PG-13
James Bond 007,1115,449,132,40.26905829596413,37.42847148944917,43.176468477030454,52.10762331838565,41.275336322869954,0.1607324516785351,14.0,27,0,1962.0,2021.0,6.390407407407407,10.569077777777776,0.0,0.0,59.0,Action,Film,PG-13
Game of Thrones,834,329,0,39.4484412470024,36.187041558659246,42.80660115375799,39.4484412470024,39.4484412470024,0.15947242206235013,642.0,1,1,2011.0,2011.0,8.5,174.567,8.0,73.0,0.0,Fantasy,TV,TV-MA
Sons of Anarchy,448,164,98,36.607142857142854,32.27767888438498,41.164341505061216,58.482142857142854,38.466517857142854,0.1742857142857143,632.5,1,1,2008.0,2008.0,8.4,69.3931,7.0,92.0,0.0,Crime,TV,TV-MA
Stranger Things,61,22,0,36.0655737704918,25.173936505814552,48.60832673260029,36.0655737704918,36.0655737704918,0.4098360655737705,590.0,1,1,2016.0,2016.0,8.555,122.2436,5.0,42.0,0.0,Sci-Fi/Horror,TV,TV-14
Avatar,215,69,61,32.093023255813954,26.214185642572325,38.600547936418145,60.46511627906977,34.5046511627907,0.4025974025974026,14.0,5,0,2009.0,2031.0,4.5686,30.18116,0.0,0.0,22.0,Sci-Fi,Film,PG-13
DC Extended Universe,585,181,31,30.94017094017094,27.32882007533798,34.80021428636474,36.23931623931624,31.39059829059829,0.315884476534296,12.0,17,0,2016.0,2023.0,6.971588235294117,19.996929411764707,0.0,0.0,7.0,Superhero,Film,PG-13
Jurassic Park,389,116,20,29.82005141388175,25.48924058702941,34.545541880000556,34.96143958868895,30.25706940874036,0.27100271002710025,14.0,10,2,1993.0,2025.0,6.316,16.9951,9.0,88.0,32.0,Sci-Fi,Film,PG-13
Indiana Jones,412,119,0,28.883495145631066,24.71806291874808,33.439081532408316,28.883495145631066,28.883495145631066,0.16262135922330098,38.5,6,1,1981.0,2023.0,7.026,14.848733333333334,2.0,24.0,42.0,Adventure,Film,PG-13
Pirates of the Caribbean,239,68,0,28.451882845188283,23.107750110040342,34.47777065740642,28.451882845188283,28.451882845188283,0.1087866108786611,27.0,5,0,2003.0,2017.0,7.1472,22.55348,0.0,0.0,14.0,Adventure,Film,PG-13
Star Wars,2785,751,0,26.96588868940754,25.350233498154207,28.645002373255636,26.96588868940754,26.96588868940754,0.20610412926391383,550.0,17,8,1977.0,2023.0,7.57835294117647,26.052252941176473,22.0,317.0,46.0,Sci-Fi,Film,PG-13
Marvel Cinematic Universe,3647,981,158,26.89882094872498,25.484494933549932,28.361763419592517,31.23114888949822,27.267068823690703,0.31355689309257667,18.0,104,0,2002.0,2028.0,6.198711538461539,35.1332,0.0,0.0,26.0,Superhero,Film,PG-13
The Twilight Saga,98,25,0,25.510204081632654,17.917341706740807,34.95064151426123,25.510204081632654,25.510204081632654,0.46938775510204084,27.5,5,0,2008.0,2012.0,6.2184,17.256819999999998,0.0,0.0,4.0,Fantasy,Film,PG-13
The Sopranos,271,64,0,23.616236162361623,18.95013914569283,29.019891592012094,23.616236162361623,23.616236162361623,0.2656826568265683,880.0,1,1,1999.0,1999.0,8.7,103.3058,6.0,86.0,0.0,Crime,TV,TV-MA
Lost,720,167,330,23.194444444444443,20.258578032747955,26.41483780850792,69.02777777777777,27.09027777777778,0.24358974358974358,654.5,1,1,2004.0,2004.0,7.965,96.9128,6.0,118.0,0.0,Drama,TV,TV-14
Harry Potter,727,167,0,22.97111416781293,20.060145175307824,26.166232742971594,22.97111416781293,22.97111416781293,0.3246217331499312,38.0,8,0,2001.0,2011.0,7.82375,35.436675,0.0,0.0,10.0,Fantasy,Film,PG-13
