franchise,media_type,tmdb_id,title,release_year,character,actor,actor_tmdb_id,billing_order,episode_count,actor_gender_code,actor_popularity
Alien vs Predator,movie,348,Alien,1979.0,Dallas,Tom Skerritt,4139,0,,2,2.8484
Alien vs Predator,movie,348,Alien,1979.0,Ripley,Sigourney Weaver,10205,1,,1,5.7695
Alien vs Predator,movie,348,Alien,1979.0,Lambert,Veronica Cartwright,5047,2,,1,2.7957
Alien vs Predator,movie,348,Alien,1979.0,Brett,Harry Dean Stanton,5048,3,,2,2.1982
Alien vs Predator,movie,348,Alien,1979.0,Kane,John Hurt,5049,4,,2,4.54
Alien vs Predator,movie,348,Alien,1979.0,Ash,Ian Holm,65,5,,2,2.854
Alien vs Predator,movie,348,Alien,1979.0,Parker,Yaphet Kotto,5050,6,,2,2.5574
Alien vs Predator,movie,348,Alien,1979.0,Alien,Bolaji Badejo,5051,7,,2,0.9548
Alien vs Predator,movie,348,Alien,1979.0,Mother (voice),Helen Horton,5052,8,,1,1.1625
Alien vs Predator,movie,679,Aliens,1986.0,Ripley,Sigourney Weaver,10205,0,,1,5.7695
Alien vs Predator,movie,679,Aliens,1986.0,Newt,Carrie Henn,10206,1,,1,1.2311
Alien vs Predator,movie,679,Aliens,1986.0,Corporal Hicks,Michael Biehn,2712,2,,2,2.6349
Alien vs Predator,movie,679,Aliens,1986.0,Burke,Paul Reiser,781,3,,2,2.9285
Alien vs Predator,movie,679,Aliens,1986.0,Bishop,Lance Henriksen,2714,4,,2,3.1625
Alien vs Predator,movie,679,Aliens,1986.0,Private Hudson,Bill Paxton,2053,5,,2,2.7843
Alien vs Predator,movie,679,Aliens,1986.0,Lieutenant Gorman,William Hope,10207,6,,2,1.1378
Alien vs Predator,movie,679,Aliens,1986.0,Private Vasquez,Jenette Goldstein,3981,7,,1,1.778
Alien vs Predator,movie,679,Aliens,1986.0,Sergeant Apone,Al Matthews,10208,8,,2,0.9252
Alien vs Predator,movie,679,Aliens,1986.0,Private Drake,Mark Rolston,6576,9,,2,2.1301
Alien vs Predator,movie,679,Aliens,1986.0,Private Frost,Ricco Ross,10212,10,,2,1.2084
Alien vs Predator,movie,679,Aliens,1986.0,Corporal Ferro,Colette Hiller,10209,11,,1,0.6456
Alien vs Predator,movie,679,Aliens,1986.0,Private Spunkmeyer,Daniel Kash,10210,12,,2,2.135
Alien vs Predator,movie,679,Aliens,1986.0,Corporal Dietrich,Cynthia Dale Scott,10211,13,,1,0.4765
Alien vs Predator,movie,679,Aliens,1986.0,Private Crowe,Tip Tipping,10213,14,,2,0.6465
Alien vs Predator,movie,679,Aliens,1986.0,Private Wierzbowski,Trevor Steedman,1340211,15,,2,0.5599
Alien vs Predator,movie,679,Aliens,1986.0,Van Leuwen,Paul Maxwell,748,16,,2,1.3609
Alien vs Predator,movie,679,Aliens,1986.0,ECA Rep,Valerie Colgan,1653085,17,,1,0.4922
Alien vs Predator,movie,679,Aliens,1986.0,Insurance Man,Alan Polonsky,84890,18,,2,0.6798
Alien vs Predator,movie,679,Aliens,1986.0,Med Tech,Alibe Parsons,190455,19,,1,0.6396
Alien vs Predator,movie,679,Aliens,1986.0,Doctor,Blain Fairman,1179692,20,,2,0.565
Alien vs Predator,movie,679,Aliens,1986.0,Cocooned Woman,Barbara Coles,96991,21,,1,0.4492
Alien vs Predator,movie,679,Aliens,1986.0,Alien Warrior,Carl Toop,1817689,22,,2,0.499
Alien vs Predator,movie,679,Aliens,1986.0,Power Loader Operator,John Lees,1494026,23,,2,0.4174
Alien vs Predator,movie,679,Aliens,1986.0,Alien Warrior (uncredited),Eddie Powell,1077325,24,,2,0.7237
Alien vs Predator,movie,679,Aliens,1986.0,Alien Warrior (uncredited),Chris Webb,1902347,25,,2,0.6396
Alien vs Predator,movie,679,Aliens,1986.0,Alien (uncredited),Alec Gillis,958540,26,,2,0.9272
Alien vs Predator,movie,8077,Alien³,1992.0,Ripley,Sigourney Weaver,10205,0,,1,5.7695
Alien vs Predator,movie,8077,Alien³,1992.0,Dillon,Charles S. Dutton,17764,1,,2,2.0351
Alien vs Predator,movie,8077,Alien³,1992.0,Clemens,Charles Dance,4391,2,,2,4.2862
Alien vs Predator,movie,8077,Alien³,1992.0,Golic,Paul McGann,47654,3,,2,1.6719
Alien vs Predator,movie,8077,Alien³,1992.0,Andrews,Brian Glover,14468,4,,2,1.6076
Alien vs Predator,movie,8077,Alien³,1992.0,Aaron,Ralph Brown,53916,5,,2,1.5853
Alien vs Predator,movie,8077,Alien³,1992.0,Morse,Danny Webb,53917,6,,2,2.1263
Alien vs Predator,movie,8077,Alien³,1992.0,Rains,Christopher John Fields,145531,7,,2,1.1779
Alien vs Predator,movie,8077,Alien³,1992.0,Junior,Holt McCallany,7497,8,,2,3.5785
Alien vs Predator,movie,8077,Alien³,1992.0,Bishop II,Lance Henriksen,2714,9,,2,3.1625
Alien vs Predator,movie,8077,Alien³,1992.0,Murphy,Christopher Fairbank,8399,10,,2,2.1232
Alien vs Predator,movie,8077,Alien³,1992.0,Frank,Carl Chase,127166,11,,2,1.0581
Alien vs Predator,movie,8077,Alien³,1992.0,Boggs,Leon Herbert,145536,12,,2,0.8225
Alien vs Predator,movie,8077,Alien³,1992.0,Jude,Vincenzo Nicoli,24595,13,,2,0.928
Alien vs Predator,movie,8077,Alien³,1992.0,David,Pete Postlethwaite,4935,14,,2,1.9791
Alien vs Predator,movie,8077,Alien³,1992.0,Troy,Paul Brennen,145532,15,,2,1.0332
Alien vs Predator,movie,8077,Alien³,1992.0,William,Clive Mantle,145533,16,,2,0.9394
Alien vs Predator,movie,8077,Alien³,1992.0,Gregor,Peter Guinness,27172,17,,2,1.5691
Alien vs Predator,movie,8077,Alien³,1992.0,Arthur,Deobia Oparei,58758,18,,2,1.732
Alien vs Predator,movie,8077,Alien³,1992.0,Kevin,Phil Davis,26854,19,,2,2.1805
Alien vs Predator,movie,8077,Alien³,1992.0,Eric,Niall Buggy,40043,20,,2,1.0017
Alien vs Predator,movie,8077,Alien³,1992.0,Company Man,Hi Ching,145534,21,,2,0.5122
Alien vs Predator,movie,8077,Alien³,1992.0,Newt,Danielle Edmond,145537,22,,1,0.3274
Alien vs Predator,movie,8077,Alien³,1992.0,Lead Alien (uncredited),Tom Woodruff Jr.,109870,23,,2,0.8622
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Ripley,Sigourney Weaver,10205,0,,1,5.7695
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Call,Winona Ryder,1920,1,,1,5.2215
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Vriess,Dominique Pinon,2413,2,,2,1.723
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Johner,Ron Perlman,2372,3,,2,5.5375
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Christie,Gary Dourdan,40276,4,,2,1.7214
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Elgyn,Michael Wincott,7486,5,,2,2.2325
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Hillard,Kim Flowers,170146,6,,1,0.7939
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,General Perez,Dan Hedaya,6486,7,,2,2.0754
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Dr. Wren,J.E. Freeman,5169,8,,2,1.0215
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Gediman,Brad Dourif,1370,9,,2,4.0332
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Distephano,Raymond Cruz,58650,10,,2,2.5927
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Purvis,Leland Orser,2221,11,,2,1.996
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Anesthesiologist,Carolyn Campbell,1558116,12,,1,0.3391
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Scientist,Marlene Bush,1398983,13,,1,0.329
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Surgeon,David St. James,1598,14,,2,0.9346
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier with Glove,Rodney Mitchell,2826580,15,,0,0.3211
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier Shot Through Helmet,Robert Faltisco,1116873,16,,2,0.3989
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Frozen Soldier,David Rowe,1392178,17,,2,0.4725
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier,Garrett House,2826587,18,,2,0.2566
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier,Rod Damer,1347002,19,,0,0.4957
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier,Mark Mansfield,2820508,20,,0,0.2956
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier,Daniel Raymont,181876,21,,2,0.7219
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Soldier,Cris D'Annunzio,1050090,22,,2,0.5592
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Father (voice),Steven Gilborn,31032,23,,2,1.3852
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Sleeper,Robert Bastens,2148372,24,,2,0.4493
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Sleeper,Rico Bueno,54428,25,,2,0.5282
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Sleeper,Alex Lorre,1654474,26,,2,0.5045
Alien vs Predator,movie,8078,Alien Resurrection,1997.0,Sleeper,Ronald Ramessar,2826599,27,,2,0.293
