franchise,media_type,tmdb_id,title,release_date,release_year,genres,vote_average,vote_count,popularity,runtime,n_seasons,n_episodes,cast_size,end_date,end_year
Alien vs Predator,movie,348,Alien,1979-05-25,1979.0,Horror|Science Fiction,8.2,16657,24.8965,117.0,,,9,1979-05-25,1979.0
Alien vs Predator,movie,679,Aliens,1986-07-18,1986.0,Action|Thriller|Science Fiction,7.965,11050,21.8207,137.0,,,27,1986-07-18,1986.0
Alien vs Predator,movie,8077,Alien³,1992-05-22,1992.0,Science Fiction|Action|Horror,6.39,6500,15.8671,114.0,,,24,1992-05-22,1992.0
Alien vs Predator,movie,8078,Alien Resurrection,1997-11-12,1997.0,Science Fiction|Horror|Action,6.174,5682,17.4457,109.0,,,38,1997-11-12,1997.0
Alien vs Predator,movie,106,Predator,1987-06-12,1987.0,Science Fiction|Action|Adventure|Thriller,7.573,9368,20.2881,107.0,,,17,1987-06-12,1987.0
Alien vs Predator,movie,169,Predator 2,1990-11-21,1990.0,Science Fiction|Action|Thriller,6.304,3922,15.6082,108.0,,,71,1990-11-21,1990.0
Alien vs Predator,movie,34851,Predators,2010-07-07,2010.0,Science Fiction|Action|Thriller,6.305,4724,13.9004,107.0,,,13,2010-07-07,2010.0
Alien vs Predator,movie,346910,The Predator,2018-09-05,2018.0,Science Fiction|Action|Thriller,5.62,5227,13.7912,107.0,,,47,2018-09-05,2018.0
Alien vs Predator,movie,766507,Prey,2022-08-02,2022.0,Thriller|Action|Science Fiction,7.651,7888,18.5793,100.0,,,31,2022-08-02,2022.0
Alien vs Predator,movie,1242898,Predator: Badlands,2025-11-05,2025.0,Action|Science Fiction|Adventure,7.827,3472,39.1706,107.0,,,10,2025-11-05,2025.0
Avatar,movie,83533,Avatar: Fire and Ash,2025-12-17,2025.0,Science Fiction|Adventure|Fantasy,7.644,4112,78.5139,198.0,,,60,2025-12-17,2025.0
Avatar,movie,19995,Avatar,2009-12-16,2009.0,Science Fiction|Action|Adventure,7.609,34436,35.602,162.0,,,68,2009-12-16,2009.0
Avatar,movie,76600,Avatar: The Way of Water,2022-12-14,2022.0,Action|Adventure|Science Fiction,7.59,14495,28.7764,192.0,,,64,2022-12-14,2022.0
Avatar,movie,216527,Avatar 4,2029-12-19,2029.0,Science Fiction|Adventure|Action,0.0,0,5.1063,0.0,,,20,2029-12-19,2029.0
Avatar,movie,393209,Avatar 5,2031-12-17,2031.0,Adventure|Science Fiction|Action,0.0,0,2.9072,0.0,,,13,2031-12-17,2031.0
Boardwalk Empire,tv,1621,Boardwalk Empire,2010-09-19,2010.0,Crime|Drama,8.021,1299,37.8118,,5.0,56.0,364,2014-10-26,2014.0
Breaking Bad / Better Call Saul,tv,1396,Breaking Bad,2008-01-20,2008.0,Drama|Crime,8.948,18378,150.2762,,5.0,62.0,348,2013-09-29,2013.0
Breaking Bad / Better Call Saul,tv,60059,Better Call Saul,2015-02-08,2015.0,Crime|Drama,8.711,6754,68.8984,,6.0,63.0,710,2022-08-15,2022.0
Breaking Bad / Better Call Saul,movie,559969,El Camino: A Breaking Bad Movie,2019-10-11,2019.0,Crime|Drama|Thriller,7.048,5763,9.6433,123.0,,,31,2019-10-11,2019.0
DC Extended Universe,movie,297761,Suicide Squad,2016-08-03,2016.0,Action|Adventure|Fantasy,5.918,22301,15.7364,122.0,,,106,2016-08-03,2016.0
DC Extended Universe,movie,297762,Wonder Woman,2017-05-30,2017.0,Action|Adventure|Fantasy,7.206,21089,18.6615,141.0,,,82,2017-05-30,2017.0
DC Extended Universe,movie,1255345,Etta's Mission,2017-08-29,2017.0,Adventure,8.0,3,1.2768,3.0,,,4,2017-08-29,2017.0
DC Extended Universe,movie,141052,Justice League,2017-11-15,2017.0,Action|Adventure|Science Fiction,6.071,13828,20.7863,120.0,,,98,2017-11-15,2017.0
DC Extended Universe,movie,297802,Aquaman,2018-12-07,2018.0,Action|Adventure|Fantasy,6.866,15091,28.7773,143.0,,,53,2018-12-07,2018.0
DC Extended Universe,movie,287947,Shazam!,2019-03-29,2019.0,Action|Comedy|Fantasy,6.972,10350,13.3541,132.0,,,94,2019-03-29,2019.0
DC Extended Universe,movie,475557,Joker,2019-10-01,2019.0,Crime|Thriller|Drama,8.12,28086,30.0951,122.0,,,80,2019-10-01,2019.0
DC Extended Universe,movie,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,2020.0,Action|Crime,6.868,10923,12.0254,109.0,,,97,2020-02-05,2020.0
DC Extended Universe,movie,464052,Wonder Woman 1984,2020-12-16,2020.0,Action|Adventure|Fantasy,6.362,9177,13.6453,151.0,,,148,2020-12-16,2020.0
DC Extended Universe,movie,791373,Zack Snyder's Justice League,2021-03-18,2021.0,Action|Adventure|Fantasy,8.08,11019,18.87,242.0,,,123,2021-03-18,2021.0
DC Extended Universe,movie,436969,The Suicide Squad,2021-07-28,2021.0,Action|Comedy|Adventure,7.454,9767,28.5052,132.0,,,62,2021-07-28,2021.0
DC Extended Universe,movie,414906,The Batman,2022-03-01,2022.0,Crime|Mystery|Thriller,7.667,12303,39.8526,177.0,,,86,2022-03-01,2022.0
DC Extended Universe,movie,436270,Black Adam,2022-10-19,2022.0,Action|Adventure|Science Fiction,6.781,7163,25.7906,125.0,,,56,2022-10-19,2022.0
DC Extended Universe,movie,594767,Shazam! Fury of the Gods,2023-03-15,2023.0,Comedy|Action|Fantasy,6.408,3727,10.9179,130.0,,,51,2023-03-15,2023.0
DC Extended Universe,movie,298618,The Flash,2023-06-13,2023.0,Action|Science Fiction|Adventure,6.614,5158,24.5581,144.0,,,59,2023-06-13,2023.0
DC Extended Universe,movie,565770,Blue Beetle,2023-08-16,2023.0,Action|Science Fiction|Adventure,6.62,3195,12.1396,128.0,,,34,2023-08-16,2023.0
DC Extended Universe,movie,572802,Aquaman and the Lost Kingdom,2023-12-20,2023.0,Action|Adventure|Fantasy,6.51,3607,24.9556,124.0,,,41,2023-12-20,2023.0
Dexter,tv,1405,Dexter,2006-10-01,2006.0,Crime|Drama|Mystery,8.242,5744,128.1368,,8.0,96.0,717,2013-09-22,2013.0
Dexter,tv,259909,Dexter: Resurrection,2025-07-13,2025.0,Crime|Drama|Mystery,8.531,606,21.3357,,2.0,10.0,96,2025-09-07,2025.0
Dune,tv,90228,Dune: Prophecy,2024-11-17,2024.0,Sci-Fi & Fantasy|Drama|Action & Adventure,7.21,620,25.7738,,2.0,14.0,86,2024-12-22,2024.0
Dune,movie,438631,Dune,2021-09-15,2021.0,Science Fiction|Adventure,7.784,15306,36.2115,155.0,,,39,2021-09-15,2021.0
Dune,movie,693134,Dune: Part Two,2024-02-27,2024.0,Science Fiction|Adventure,8.132,8347,50.0722,167.0,,,98,2024-02-27,2024.0
Dune,movie,1170608,Dune: Part Three,2026-12-16,2026.0,Science Fiction|Adventure,0.0,0,18.4455,0.0,,,14,2026-12-16,2026.0
Fast & Furious,movie,584,2 Fast 2 Furious,2003-06-05,2003.0,Action|Crime|Thriller,6.522,8284,2.9047,108.0,,,31,2003-06-05,2003.0
Fast & Furious,movie,9615,The Fast and the Furious: Tokyo Drift,2006-06-03,2006.0,Action|Crime|Drama|Thriller,6.553,7770,3.3091,104.0,,,81,2006-06-03,2006.0
Fast & Furious,movie,9799,The Fast and the Furious,2001-06-22,2001.0,Action|Crime|Thriller,7.0,11010,1.6313,106.0,,,31,2001-06-22,2001.0
Fast & Furious,movie,51497,Fast Five,2011-04-20,2011.0,Action|Thriller|Crime,7.246,8997,1.669,131.0,,,35,2011-04-20,2011.0
Fast & Furious,movie,82992,Fast & Furious 6,2013-05-21,2013.0,Action|Thriller|Crime,6.817,11294,1.7413,130.0,,,84,2013-05-21,2013.0
Fast & Furious,movie,168259,Furious 7,2015-04-01,2015.0,Action|Crime|Thriller,7.215,11418,17.0565,138.0,,,50,2015-04-01,2015.0
Fast & Furious,movie,13804,Fast & Furious,2009-04-02,2009.0,Action|Crime|Thriller,6.69,7925,1.6853,107.0,,,63,2009-04-02,2009.0
Fast & Furious,movie,337339,The Fate of the Furious,2017-04-12,2017.0,Action|Crime|Thriller,6.9,10917,10.1781,136.0,,,87,2017-04-12,2017.0
Fast & Furious,movie,385687,Fast X,2023-05-17,2023.0,Action|Crime|Thriller,6.984,6435,32.4797,142.0,,,39,2023-05-17,2023.0
Fast & Furious,movie,385128,F9,2021-05-19,2021.0,Action|Adventure|Crime,6.99,7799,8.7489,143.0,,,44,2021-05-19,2021.0
Fast & Furious,movie,755679,Fast Forever,2028-03-16,2028.0,Action|Crime|Thriller,0.0,0,17.0181,0.0,,,1,2028-03-16,2028.0
Game of Thrones,tv,1399,Game of Thrones,2011-04-17,2011.0,Sci-Fi & Fantasy|Drama|Action & Adventure,8.5,27498,174.567,,8.0,73.0,587,2019-05-19,2019.0
Grey's Anatomy,tv,1416,Grey's Anatomy,2005-03-27,2005.0,Drama,8.206,11004,229.279,,23.0,466.0,3243,2026-05-07,2026.0
Harry Potter,movie,671,Harry Potter and the Philosopher's Stone,2001-11-16,2001.0,Adventure|Fantasy,7.902,29990,45.5036,152.0,,,64,2001-11-16,2001.0
Harry Potter,movie,672,Harry Potter and the Chamber of Secrets,2002-11-13,2002.0,Adventure|Fantasy,7.708,23897,37.7194,161.0,,,77,2002-11-13,2002.0
Harry Potter,movie,674,Harry Potter and the Goblet of Fire,2005-11-16,2005.0,Adventure|Fantasy,7.802,22469,35.2037,157.0,,,77,2005-11-16,2005.0
Harry Potter,movie,767,Harry Potter and the Half-Blood Prince,2009-07-15,2009.0,Adventure|Fantasy,7.682,21056,31.0339,153.0,,,60,2009-07-15,2009.0
Harry Potter,movie,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,2004.0,Adventure|Fantasy,8.01,23459,34.6081,141.0,,,59,2004-05-31,2004.0
Harry Potter,movie,675,Harry Potter and the Order of the Phoenix,2007-07-08,2007.0,Adventure|Fantasy,7.673,21080,31.6463,138.0,,,87,2007-07-08,2007.0
