char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
087e7bc2fc86,Tiom Rordan,Star Wars,birth: circa 17 ABY | death: circa 40 ABY | species: Human | gender: Male,"His fiancée was devastated following his death, which also cost her the rest of her squadron.Legacy of the Force: Fury

Behind the scenes
Tiom Rordan has appeared in two Star Wars works thus far in the form of two Star Wars: Legacy of the Force novels, Legacy of the Force: Exile and Legacy of the Force: Fury, both written by Aaron Allston.","Tiom Rordan was a Human male who served as a starfighter pilot in the Galactic Alliance during the Second Galactic Civil War. Stationed aboard the frigate Mawrunner, he began dating Syal Antilles, to the tacit disapproval of her father, Wedge Antilles. After less than a year of dating, they decided to be married after the end of the war. However, when the Galactic Alliance Second Fleet, including Mawrunner, was ordered to accompany the Galactic Alliance Chief of State to negotiations with the Confederation, the Confederation activated the Centerpoint Station superweapon, obliterating the Second Fleet and killing Rordan. His fiancée was devastated following his death, which also cost her the rest of her squadron.Legacy of the Force: Fury Behind the scenes Tiom Rordan has appeared in two Star Wars works thus far in the form of two Star Wars: Legacy of the Force novels, Legacy of the Force: Exile and Legacy of the Force: Fury, both written by Aaron Allston. His name was not revealed unti"
dec2daea5e6b,Westenberg,Harry Potter,"died: Summer, 1997 | species: Human | gender: Male","He and his wife were found murdered in their cellar in the summer of 1997.""Divulgado roteiro COMPLETO de Relíquias da Morte: Parte 1 - FULL Deathly Hallows: Part 1 script released″ on Oclumencia.com.br.","Mr WestenbergClosed captions for the deleted scene ""The Burrows Shed"" on the Blu-ray of . (d. 1997) was an English wizard who lived in the north of England. Biography He and his wife were supporters of the Order of the Phoenix and had, on occasion, provided shelter for its members. He and his wife were found murdered in their cellar in the summer of 1997.""Divulgado roteiro COMPLETO de Relíquias da Morte: Parte 1 - FULL Deathly Hallows: Part 1 script released″ on Oclumencia.com.br. Appearances Notes and references fr:Mr Westenberg pl:Pan Westenberg Category:1997 deaths Category:English individuals Category:Males Category:Married individuals Category:Murder victims Category:Order of the Phoenix allies Category:Second Wizarding War casualties Category:Westenberg family Category:Wizards"
1e300f97b14d,Violet Austman,Indiana Jones,"gender: Female | birth: March 4, 1900 | death: February 8, 1929 New York City, New York, USA","In this moment of utter despair, Violet committed suicide by stepping out of the window of their apartment on the 15th floor.Anthony Fokker - The Flying Dutchman 

 Sources 
 Anthony Fokker - The Flying Dutchman 

 Notes and references 

Category:Canadians
Category:Historical figures
Category:Deceased","Violet Austman was the second wife of Anthony Fokker. Biography In July 1927, Violet Austman married Anthony Fokker. The two settled in an apartment on Manhattan's upscale Riverside Drive. But almost as soon as they wed, their marriage began to fall apart. He was always playing the act of being the eccentric multimillionaire Tony Fokker, while Violet began to suffer from depression. In December 1928 she checked into New York's Presbyterian Hospital, where she remained for six weeks and Fokker rarely visited her. On the day she left the hospital, he sent his driver to pick her up. When Fokker finally got home that evening, he was preoccupied, and went right to sleep. In this moment of utter despair, Violet committed suicide by stepping out of the window of their apartment on the 15th floor.Anthony Fokker - The Flying Dutchman Sources Anthony Fokker - The Flying Dutchman Notes and references Category:Canadians Category:Historical figures Category:Deceased"
21bf03e984c8,Willem Frey,Game of Thrones,"Birth: The Twins, the Riverlands | Death: 303 ACThe Twins, the Riverlands","Game of Thrones: Season 7
He is supposedly murdered, along with his other male family members, by Arya, in retaliation for the Red Wedding.","Ser Willem Frey was a member of House Frey and a knight whose wedding was celebrated with a tournament. Biography Game of Thrones: Season 2 Alton Lannister recalls squiring for Jaime at a tournament, the same day Willem's wedding was held. Game of Thrones: Season 3 A Riverlands traveller tells Locke that he saw Jaime fight in a tournament at Willem Frey's wedding. Game of Thrones: Season 7 He is supposedly murdered, along with his other male family members, by Arya, in retaliation for the Red Wedding. Family In the books In A Song of Ice and Fire, there is a character named Willem Frey, but he is a young grandson of Lord Walder Frey, the second son of Cleos Frey (the analogous character of Alton Lannister) and Jeyne Darry. This ""Willem Frey"" is only ten years old, thus was never married. He serves as a page at Ashemark. He has not made an appearance in the books so far, only mentioned in the appendices. Appearances References Notes External links Category:Individuals ment"
8244c1468b6c,Frór,Lord of the Rings,birth: TA 2552 | death: TA 2589 | actor: Brett Beattie,"He was slain with his father when a Cold-drake invaded the doors of the mountain palace. However, the greater part of Durin's Folk followed the youngest brother Grór to the Iron Hills., Appendix A, ""Durin's Folk""

In adaptations
In , it is revealed that Frór, along with a number of other deceased dwarves, were brought back to life as dwarf-wights in Thikil-gundu, ""The Steel Keep"" (the in-game version of Dáin's halls), and now stalk the halls of the Steel Keep.","Frór (TA 2552 – TA 2589) was a Dwarf of the Ered Mithrin (the Grey Mountains) and was of the line of Durin. Biography He had an older brother, Thrór, and a younger brother, Grór. He was the second son of Dáin I. Frór spent his short life in the Grey Mountains. He was slain with his father when a Cold-drake invaded the doors of the mountain palace. Shortly after they were laid to rest in the tombs of the mountain halls, and the kingship was passed on to Frór's older brother Thrór. Durin's Folk then resolved to abandon the Grey Mountains. It was Thrór who founded the kingdom of the Lonely Mountain and led a portion of his people there. However, the greater part of Durin's Folk followed the youngest brother Grór to the Iron Hills., Appendix A, ""Durin's Folk"" In adaptations In , it is revealed that Frór, along with a number of other deceased dwarves, were brought back to life as dwarf-wights in Thikil-gundu, ""The Steel Keep"" (the in-game version of Dáin's halls), and now stalk the hal"
b9bf197bb360,Stone-Eyed Sam,Pirates of the Caribbean,"gender: Male | died: Before the early 1700s, Isla Esquelética | first: ''The Coming Storm''","The inhabitants of the whole city, including Sam, died exactly where they were.Jack Sparrow: The Coming Storm, pp. Appearances
Jack Sparrow: The Coming Storm  
Jack Sparrow: The Siren Song 
Jack Sparrow: The Sword of Cortés 
Jack Sparrow: The Timekeeper
Jack Sparrow: Dance of the Hours

Notes and references

de:Stone-Eyed Sam
es:Sam Ojo de piedra
it:Stone-Eyed Sam
ru:Каменный глаз Сэм

Category:Deceased individuals
Category:Males
Category:Pirate captains
Category:Resurrected individuals
Category:Swordsmen","Stone-Eyed Sam was a pirate captain in the Caribbean during the Age of Piracy. As the owner of the Sword of Cortés, a legendary and all powerful weapon, Sam became the scourge of Panama and ruled as a pirate king over a majestic city on Isla Esquelética. He hid a cache of treasure in his pirate kingdom on Isla Esquelética, later uncovered by young Captain Jack Sparrow and the crew of the Barnacle. Biography Pirate career Not much is known about Sam's early life except that he engaged in piracy in the Caribbean, and eventually rose up to the position of a leader among the pirates as captain and king. Through uncertain means, Sam lived his pirate life without a left eye, and so when he put a finely polished onyx orb in the empty eye socket, he became known as Stone-Eyed Sam.Jack Sparrow: The Coming Storm, pp. 101-103 During his pirate career, Stone-Eyed Sam performed at least one successful attack against the Spanish colony of Panama, an act that earned him the nickname the scourge of "
dda20d5768a8,Korba,Dune,death: 10210 AG | last: ''Dune Messiah''(1969),Korba was killed by Stilgar after his complicity in the conspiracy was discovered.,"For the adaptation equivalents, see Korba/1984 film and Korba/2000 miniseries [d. 10210 AG] was a Fremen follower of Paul ""Muad'Dib"" Atreides, the supposed Mahdi. Beginning his rise to power as one of the original Fedaykin who Paul trained in the Weirding Way during the Desert War, he served as a commander in the Battle of Arrakeen in 10193 AG which allowed Paul to usurp Shaddam Corrino IV and become the Padishah Emperor and led to the Fremen waging a twelve-year galactic jihad in his name. After the Battle of Arrakeen, Korba was given the title of Panegyrist, becoming an important member of Paul's Qizarate and rose to the additional title of Priest by the year 10208 AG. It was at this point that Korba turned against his Mahdi, becoming embroiled in a conspiracy to martyr the Emperor, a conspiracy whose leading instigators also included Princess Irulan Corrino, Paul's wife in name only, Reverend Mother Gaius Helen Mohiam, Spacing Guild Steersman Edric, and Scytale, a Face Dancer. K"
a8333a1f73c3,Rowena King,The Twilight Saga,died: 1933 (killed by Royal Hale) | species: Human | gender: Female,"Rowena watched in amusement as they beat him near death. Personality
From Stephenie Meyer's description, Rowena was an even crueler person than her male counterpart, Royce; while the man was cruel, he at least harbored desire for Rosalie Hale, whereas Rowena was ice cold toward Royal.http://thenovl.com/post/132954122509/is-rosalies-vampire-origin-story-still-going-to The NOVL Stephenie's Answer

Mentioned in
Life and Death: Twilight Reimagined

References

Category:Mentioned characters
Category:Deceased characters
Category:Humans","Rowena King was a human who lived during the Great Depression. She was the daughter of a criminal lord, and had a secret boyfriend in the enemy syndicate. When she was engaged to Royal Hale, she had her boyfriend kill him. Royal, after becoming a vampire, returned for revenge. Her Twilight Saga counterpart is Royce King II. Biography Rowena's father was a powerful criminal lord. Unbeknownst to her father, Rowena had a secret relationship with the son of the enemy syndicate. When her father announced Royal Hale as Rowena's fiancé, she pretended to show affection. She told her boyfriend about her engagement. One night, the boyfriend had his mafia colleagues corner Royal then proceeded to beat him. Rowena watched in amusement as they beat him near death. As Royal lay battered and dying in the street, Carine Cullen found him and bit him to save his life, turning him into a vampire. After discovering his immense superhuman power, Royal reaped revenge on his attackers. He was carrying the "
67a97464d57e,Unidentified clone trooper captain (Hoth),Star Wars,"death: c. 21 BBY, Hoth | species: Human | gender: Male",The captain was killed in the ensuing skirmish.,"A clone trooper captain accompanied Representative Jar Jar Binks and Jedi Master Obi-Wan Kenobi on a diplomatic mission during the Clone Wars. Biography Following the diplomatic negotiations, the clone trooper captain accompanied Kenobi and Binks back to Coruscant. En route, their ship was attacked by a Confederate squadron, and they crash-landed on the ice planet of Hoth. The captain was killed in the ensuing skirmish. Appearances Notes and references Category:Clone trooper captains"
a407dc810e22,Quong Po,Harry Potter,born: 1443 | died: 1539 (aged 95–96) | species: Human | gender: Male,,"Quong Po (1443–1539) was a Chinese wizard and dragonologist, who studied the Chinese Fireball breed and discovered the magical uses of their powdered eggs. Behind the scenes In the Norwegian version of , he is identified as Chong Po. Appearances Notes and references de:Quong Po es:Quong Po fi:Quong Po fr:Quong Po it:Quong Po pl:Quong Po ru:Квонг По Category:1443 births Category:1539 deaths Category:Bronze Chocolate Frog Cards Category:Chinese individuals Category:Dragonologists Category:Males Category:Wizards"
287f1b708f47,Louis XIV,Indiana Jones,gender: Male | birth: 1638 | death: 1715,,"Louis XIV was a king of France. Biography One story held that King Louis XIV was the twin of a man that was imprisoned for over forty years at Château d'If off the coast of France to prevent his taking the throne. In 1914, Indiana Jones and his companions discovered that a descendent of Louis's brother had risen to the top of the Marseilles underworld intent on reestablishing and reclaiming the French monarchy for his family's line. Appearances Masters of the Louvre Young Indiana Jones and the Gypsy Revenge Notes and references External links Category:French Category:Historical figures Category:Political leaders"
f497d98b16f1,Stark soldier (Valar Morghulis),Game of Thrones,"Death: 299 ACThe Riverlands | Appearances: ""Valar Morghulis"" | DeathEp: ""Valar Morghulis"" | Actor: Michael Shaeffer","She kills him and his companions, giving two of them quick deaths. They presume the women were killed by Northmen, as the sign reveals, though it is uncertain by whose order; Jaime and Cleos guess it could have been Jonos Bracken, Marq Piper, Beric Dondarrion or Roose Bolton.","A Stark soldier is a soldier sworn to House Stark. Biography Background He is fighting for House Stark in the Riverlands during the War of the Five Kings. Game of Thrones: Season 2 Brienne is escorting Jaime from Riverrun to King's Landing to exchange him for the daughters of Catelyn. She stops when she sees the bodies of three women hanging in a tree. One of them has a sign around her neck saying they lay with lions. Jaime mentions that they were probably tavern girls who had relations with Lannister soldiers. Jaime confronts Brienne with the charge that this atrocity was committed by her side. She reminds him that she doesn't fight for the Starks, she has given fealty to Lady Catelyn. When they hear the three Northern soldiers coming, Jaime says to free his hands, but Brienne ignores him. The Stark soldier is accompanying Tom and another man. Brienne tells the men that she is transporting a criminal to Riverrun for justice. Jaime adopts a lower class accent and says he stole a pig"
e1eebfb512ac,Ornil,Lord of the Rings,birth: Sometime before FA 495 | death: Sometime after FA 495 | gender: Unknown,"86

 History 
After Gwindor's death during the Battle of Tumhalad, Túrin started to rush back to Nargothrond, gathering any survivors of the battle in the process, including Ornil.","Ornil was an Nargothronder who met with Túrin after the Battle of Tumhalad., Vol. XI: The War of the Jewels, Part One: ""The Grey Annals"", §277, pg. 86 History After Gwindor's death during the Battle of Tumhalad, Túrin started to rush back to Nargothrond, gathering any survivors of the battle in the process, including Ornil. As leaves were falling from trees in a great wind, Ornil compared the changing of the seasons to the Fall of Nargothrond, causing Túrin to hasten his pace. Nothing else is known about Ornil. Etymology Ornil is a Sindarin name that might contain the word orn (""a tall tree"")Parma Eldalamberon, issue XVII: Words, Phrases and Passages in various tongues in The Lord of the Rings, pgs. 25, 50, 84""Ornil"" on eldamo.org and either a variant of -dil (""friend, lover"")Parma Eldalamberon, issue XVII: Words, Phrases and Passages in various tongues in The Lord of the Rings, pgs. 27, 152, 168""-dil"" on eldamo.org or -il (""feminine suffix""), Vol. V: The Lost Road and Other Writ"
484044d63749,Jane Beckett,Pirates of the Caribbean,gender: Female | died: 1710s | first: ''The Price of Freedom'' | last: ''The Price of Freedom'',"Cutler wanted her to move to his new home in Calabar once he was stationed there, but unfortunately, she died from a fever beforehand. Appearances
The Price of Freedom  

Notes and references

it:Jane Beckett

Category:Beckett family
Category:Deceased individuals
Category:English
Category:Females","Jane Beckett was the sister of Cutler Beckett, Bartholomew Beckett and Jonathan Beckett Jr., and the daughter of Jonathan Beckett Sr.. Biography When Cutler Beckett ran away to London because of his huge argument with his father, Jane gave him a small amount of money. She and Cutler wrote to each other several times, and he planned on inviting her to leave their family and live with him once he found a permanent position in the East India Trading Company. However, after a few years of service, Cutler was stationed in Nippon, on the other side of the world, and he could not ask Jane to make such a long and exhausting journey. Cutler wanted her to move to his new home in Calabar once he was stationed there, but unfortunately, she died from a fever beforehand. Behind the scenes Jane Beckett appears in the 2011 novel The Price of Freedom by A. C. Crispin. Appearances The Price of Freedom Notes and references it:Jane Beckett Category:Beckett family Category:Deceased individuals Cate"
