char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
5be75d117d10,Nadiva Bryant,The Wire,"seasons: 1, 2 | actor: Toni Lewis | gender: Female",,Nadiva Bryant is an Assistant United States Attorney (AUSA). She works as the federal prosecutor for the team of FBI Agents led by Amanda Reese. She first appears when the Barksdale detail try to take their case federal in season one. She returns when the Sobotka detail case becomes a federal investigation. Production Appearances Toni Lewis was not credited for her appearance in the first season. Category:Characters Category:Season 1 Characters Category:Season 2 Characters
871c43eb57fe,Roman,The Wire,actor: Clarence Clemons | seasons: 3,,"Roman is a community basketball coach. Biography Season 3 He helped Dennis ""Cutty"" Wise find a location to set up his gym. Production Appearances Notes The character is portrayed by Clarence Clemons, the saxophone player in Bruce Springsteen's E Street Band. Category:Characters Category:Season 3 Characters"
960bb5ac66a2,Ringo,The Wire,actor: Jon Garcia | seasons: 2,,"Ringo is a cargo checker in IBS Local 1514. Biography Season 2 In 2003, Ringo was having trouble getting enough work to live on. When Ringo mentioned that he's contemplating a move to a different local, Frank sent Ringo to Delores's bar and instructed him to order a shot and a beer on him. When Ringo arrived at the bar and used Frank's name, Delores handed him a bundle of cash. Ringo later witnesses Frank's body being pulled out of the Patapsco River. Production Appearances *Uncredited appearance. Category:Characters Category:Season 2 Characters Category:Stevedores Category:International Brotherhood of Stevedores"
71784731c455,New Charles,The Wire,"actor: Stan Stewart | seasons: 2, 5",,"New Charles is a cargo handler with IBS Local 47. Biography Season 2 He is crushed by a falling crate and is disabled by the accident. Season 5 New Charles, Nickolas Sobotka, Nathaniel Coxson, and Roy Pelzman watched as Mayor Carcetti and Andy Krawczyk announced replacing the grain pier with condominiums. Production Appearances *Uncredited appearance. Category:Characters Category:Season 2 Characters Category:Season 5 Characters Category:Recurring Characters Category:Stevedores Category:International Brotherhood of Stevedores"
1d0228360380,Sullivan,The Wire,actor: Dennis Lehane | seasons: 3,,Sullivan is an officer in the Evidence Control Unit of the Baltimore Police Department. Biography Season 3 Sullivan is the officer in charge of special equipment (and minor irritations). Production Appearances *Uncredited appearance. Notes The character is played by series writer Dennis Lehane. Category:Characters
e09f5109e320,Chiquan,The Wire,actor: Tiffani Holland | seasons: 4,,"Chiquan is a female student who was in Roland Pryzbylewski's math class at Edward J. Tilghman Middle School. Biography Season 4 She is often a disruptive student who refused to sit next to Duquan Weems because of his body odor. Chiquan had a personal conflict with another disruptive student, Laetitia. An incident in class between the two of them where Chiquan used the crystal on her wristwatch to flash sunlight at Laetitia's face resulted in a brief fight, broken up by Prez. In a later class session, Chiquan once again antagonized Laetitia, who, armed with a boxcutter, slashed the side of Chiquan's face. Chiquan immediately fell to the floor, bleeding heavily and her attacker was left in a severe state of shock after being disarmed by Grace Sampson. Production Appearances Category:Season 4 Characters Category:Edward Tilghman Middle School students Category:Characters"
590fa62feb7c,Laetitia,The Wire,actor: Charmaine McPhee | seasons: 4,,"Laetitia is a former student in Roland Pryzbylewski's math class at Edward J. Tilghman Middle School. Biography Season 4 She is often a disruptive student who had a personal conflict with another disruptive student, Chiquan. An incident in class between the two of them where Chiquan flashed light in her face with her wristwatch, resulted in a brief fight, broken up by Prez. In a later class session, Chiquan once again antagonized Laetitia, who, armed with a boxcutter, slashed the side of Chiquan's face. Chiquan immediately fell to the floor, bleeding heavily and her attacker was left in a severe state of shock after being disarmed by Grace Sampson. As a gesture of kindness, Dukie gives Laetitia the mini-electric fan he'd been fixing. Production Appearances Category:Characters Category:Season 4 Characters Category:Edward Tilghman Middle School students"
70a0d7eb8a3e,Donnie,The Wire,"actor: Donnie Andrews | seasons: 4, 5","Donnie is killed when Partlow shoots him in the head, killing him instantly. Category:Deceased
Category:Minor Characters
Category:Omar's crew
Category:Season 4 Characters
Category:Season 5 Characters
Category:Recurring Characters
Category:Characters
Category:Killed by Christopher Partlow
Category:Gangsters","Biography Season 4 Donnie is an associate and friend of Butchie's, who plays a role as hired muscle at Butchie's request. While in County Holding during season 4 (on false charges of murder) Omar is assisted by Donnie and a friend who provide Omar with body armor made from thick, large books - Omar is attacked in holding by a man who attempts to stab him. Omar is able to subdue the man and stab him in the rectum, sending a message to the other inmates not to attempt any other attacks. Season 5 While enacting his vengeance against the Stansfield organization for Butchie's murder (done purposely by Christopher Partlow to draw Omar out of hiding), Donnie stakes out Monk Metcalf's apartment building with Omar, waiting for a chance to move on Monk. Donnie and Omar assault the apartment and are ambushed by Partlow and Snoop. Donnie is killed when Partlow shoots him in the head, killing him instantly. Production Appearances *Uncredited appearance. Notes Larry ""Donnie"" Andrews's real-life "
440df8ed0cec,Richardson,The Wire,actor: R. Emery Bright | seasons: 3,,Sergeant Richardson is a community relations officer for the Western District. Biography Season 3 He assisted Major Colvin in liaising with the Western District. Production Appearances *Uncredited appearance. Category:Characters Category:Recurring Characters Category:Season 3 Characters Category:Police
8199792e0821,Crime Scene Technician,The Wire,actor: Cleve Grey | seasons: 3,,A Crime Scene Technician photographs the site of the Stringer Bell murder. Biography Season 3 He attends the crime scene of the Stringer Bell murder and photographs the body and the surroundings. Production Appearances References Category:Characters Category:Season 3 Characters Category:Police Category:Minor Characters
