char_id,is_character,appears_onscreen,dies_in_narrative
2c5f977d9141,1,1,1
b3b2d03a2742,1,1,1
04624a1c73c7,1,1,0
e07e5838dfce,1,1,0
e40f24d41c1c,1,1,0
891b751b5ddc,1,1,-1
b16176a4db28,1,1,-1
7eabbc182e0f,1,1,-1
77dc10a22ca9,1,1,0
5f079d2c145f,1,1,0
aa3658202364,1,1,-1
2a2f408b6f37,1,1,0
f149f95ae3c3,1,1,0
afa304eae5c5,1,1,0
afaeff8e7d06,1,1,0
22e60ffbe20e,1,1,0
2b057185cd08,1,1,0
b0ee482890fc,1,1,0
6278fbf6e601,1,1,0
f51ce841c6c2,1,1,0
05d5072c5d97,1,1,0
91fe7ae11d74,1,1,0
7883a896d99a,1,1,0
16eb2596581b,1,1,0
d71f1ddd399c,1,1,0
afde21a7e226,1,1,0
546dc295ae6b,1,1,0
797d0932d5a9,1,1,-1
050d305a6af4,1,1,0
58ed697b95d4,1,1,0
be7ffab776c2,1,1,0
2fc30cd4f45e,1,1,0
33bd4c4149ed,1,1,0
1bcfbb4553d3,1,1,0
6d6426fa39f4,1,1,0
7331a989f6aa,1,1,0
8c551cdca47f,1,1,0
60c624a79fb2,1,1,0
5ed641c75dfc,1,1,0
ec0032571a66,1,1,0
e56178293144,1,1,0
2f2bdf757ba4,1,1,0
87d31ed01a85,1,1,0
05e5abce5d18,1,1,0
eec8d983d0dd,1,1,0
06a1bbe7dda4,1,1,0
40ae5dcf0d3f,1,1,0
b9a05b5b020f,1,1,0
f846685c1a8a,1,1,0
74cf57451af5,1,1,0
bb5815d1793b,1,1,0
a4260bd02ed9,1,1,0
a35dd2237195,1,1,0
9938b624237d,1,1,0
d40b5062da19,1,1,0
12cf0c57d4c5,1,1,0
6488b4d7c440,1,1,0
bfd37950f949,0,1,0
0197d54109d3,1,1,-1
dbc4114d221c,1,1,0
1e2f74b6372e,1,1,1
d98b2b455809,1,1,1
9462d1d6b814,1,1,1
91534d86b582,1,1,1
d7490184298e,1,1,1
c29d8a96ba30,1,1,1
a9e5ff104d38,1,1,1
da5c235216db,1,1,1
ce753c8c448b,1,1,1
a6216573744b,1,1,1
bb7d72c5b672,1,1,1
6a3a35cd0ba6,1,1,1
da8274f5c558,1,1,0
fff6afa9a95a,1,0,-1
b24673430b79,1,1,0
8743f4513b78,1,1,0
b618c3346f28,1,1,1
cd4296ca8756,1,1,1
35bd27deac4e,1,1,0
9fd6276dd090,1,1,-1
ce971babbc27,1,1,-1
504af4bf70d9,1,1,-1
964af4d4d67b,1,1,1
537ab149756c,1,1,0
c3507537afc7,1,1,0
0dab753d0ccb,1,1,0
ff8683c86954,1,1,0
cc0e1e79e58b,0,1,0
5f0b554b043e,1,1,1
83f7088b08e3,1,1,1
