index,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
0,Addam Marbrand,Lannister,,,,56.0,1,1,1,1,1,1,0
1,Aegon Frey (Jinglebell),None,299.0,3.0,51.0,49.0,1,1,0,0,1,0,0
2,Aegon Targaryen,House Targaryen,,,,5.0,1,1,0,0,0,0,1
3,Adrack Humble,House Greyjoy,300.0,5.0,20.0,20.0,1,1,0,0,0,0,1
4,Aemon Costayne,Lannister,,,,,1,1,0,0,1,0,0
5,Aemon Estermont,Baratheon,,,,,1,1,0,1,1,0,0
6,Aemon Targaryen (son of Maekar I),Night's Watch,300.0,4.0,35.0,21.0,1,1,1,0,1,1,0
7,Aenys Frey,None,300.0,5.0,,59.0,0,1,1,1,1,0,1
8,Aeron Greyjoy,House Greyjoy,,,,11.0,1,1,0,1,0,1,0
9,Aethan,Night's Watch,,,,0.0,1,0,0,0,1,0,0
10,Aggar,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
11,Aggo,House Targaryen,,,,54.0,1,0,1,1,1,0,1
12,Alan of Rosby,Night's Watch,300.0,5.0,4.0,18.0,1,1,0,1,1,0,1
13,Alayaya,None,,,,15.0,0,0,0,1,0,0,0
14,Albar Royce,Arryn,,,,38.0,1,1,1,0,0,1,0
15,Albett,Night's Watch,,,,26.0,1,0,1,0,0,0,0
16,Alebelly,House Stark,299.0,2.0,46.0,4.0,1,0,0,1,0,0,0
17,Alerie Hightower,House Tyrell,,,,6.0,0,1,0,0,1,1,0
18,Alesander Staedmon,Baratheon,,,,65.0,1,1,0,1,0,0,0
19,Alester Florent,Baratheon,300.0,4.0,,36.0,1,1,0,1,1,0,0
20,Alia of Braavos,None,,,,28.0,0,0,1,0,0,0,0
21,Alla Tyrell,House Tyrell,,,,6.0,0,1,0,0,1,1,0
22,Allard Seaworth,Baratheon,299.0,2.0,10.0,10.0,1,1,0,1,0,0,0
23,Alliser Thorne,Night's Watch,,,,19.0,1,0,1,1,1,0,1
24,Alyn,House Stark,298.0,3.0,34.0,12.0,1,0,1,0,0,0,0
25,Alyn Ambrose,Tyrell,,,,59.0,1,1,0,1,0,1,0
26,Alyn Estermont,Baratheon,,,,,1,1,0,1,1,0,0
27,Alyn Stackspear,Lannister,,,,16.0,1,1,0,0,0,1,0
28,Alys Karstark,Stark,,,,44.0,0,1,0,0,0,0,1
29,Alysane Mormont,Stark,,,,35.0,0,1,0,0,0,0,1
30,Alyx Frey,None,,,,49.0,1,1,0,0,1,0,0
31,Ambrode,Greyjoy,,,,24.0,1,0,0,1,0,0,0
32,Amory Lorch,House Lannister,299.0,2.0,47.0,14.0,1,1,0,1,0,0,0
33,Andar Royce,Arryn,,,,29.0,1,1,1,0,0,0,0
34,Andrew Estermont,Baratheon,,,,36.0,1,1,0,0,1,0,0
35,Andrey Dalt,Martell,,,,21.0,1,1,0,0,0,1,0
