Name,URL,Image_URL,Indirect:,Episode count:,Born:,Last appears,Cellmate(s):,Eye color,Sex,Original Identity,Occupation,Death reason:,Shows,Cellmate(s),First appears:,Prison,Age,Sex:,First Appearance,Alias(es):,Family,Cause of death,Season(s):,Portrayed by,Affiliations,Last Appearance,Last appears:,Species:,Kills:,First appears,Death,Sentence,Status,Affiliations:,Prison:,Actor,Created by:,Portrayed by:,Status:,Hair color,Other names,Crime(s),Died:
"""Avocado"" Balz-Johnson (Pobeg)",https://prisonbreak.fandom.com/wiki/%22Avocado%22_Balz-Johnson_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Avocado"" Balz-Johnson (The Conspiracy)",https://prisonbreak.fandom.com/wiki/%22Avocado%22_Balz-Johnson_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/8/81/Avocado.jpg/revision/latest/scale-to-width-down/268?cb=20100527145134,,,,,,,,,,,,,,Fox River,,,,,,,,Unknown voice actor (Deutch) Unknown voice actor (French),,,,,,,,Unknown,Alive,,,,,,,,,Unknown,
A&W,https://prisonbreak.fandom.com/wiki/A%26W,https://static.wikia.nocookie.net/prisonbreak/images/3/31/A%26W.png/revision/latest/scale-to-width-down/268?cb=20170423044140,,8,,,,,,,,Neck broken by Theodore Bagwell,,,Ogygia,,,Female,,A&W,,,5,,,,Behind the Eyes,,2,,,,,,,,,Marina Benedict,Deceased,,,,2017
A.L. Bowen,https://prisonbreak.fandom.com/wiki/A.L._Bowen,https://static.wikia.nocookie.net/prisonbreak/images/d/d5/Male.jpg/revision/latest?cb=20100501194117,,,,(Name appears on stone),,,,,,,,,,,,,,,,,,,,,,,,(Name appears on stone),,,Alive,,,,,,,,,,
Abu Ramal,https://prisonbreak.fandom.com/wiki/Abu_Ramal,https://static.wikia.nocookie.net/prisonbreak/images/7/70/AbuRamal.png/revision/latest/scale-to-width-down/268?cb=20170514103857,,3,,,,,,,,Stabbed in the stomach by Whip,,,Kaniel Outis,,,Male,,,,,5,,,,The Prisoner's Dilemma,,,,,,,,Ogygia Prison,,,Numan Acar,Deceased,,,,2017
Accouncer,https://prisonbreak.fandom.com/wiki/Accouncer,https://static.wikia.nocookie.net/prisonbreak/images/5/55/Accouncer.jpg/revision/latest/scale-to-width-down/268?cb=20110312002759,,,,S.O.B.,,,,,,,,,,,,,,,,,,David Grant Wright,,,,,,S.O.B.,,,Alive,,,,,,,,,,
Adam Rabinowitz,https://prisonbreak.fandom.com/wiki/Adam_Rabinowitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Rix,https://prisonbreak.fandom.com/wiki/Adrian_Rix,https://static.wikia.nocookie.net/prisonbreak/images/8/81/108-456.jpg/revision/latest/scale-to-width-down/268?cb=20090423132641,,,,""" The Old Head """,,,,,,,,,,,,,,,Lisa Rix - Wife (Deceased) L.J. Burrows - Stepson,,,,,,,,,""" Pilot """,,,Deceased,,,,,,,,,,
Adrian Rix (Pobeg),https://prisonbreak.fandom.com/wiki/Adrian_Rix_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Warren's sister (II),https://prisonbreak.fandom.com/wiki/Agatha_Warren%27s_sister_(II),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha Warren (Fox River character),https://prisonbreak.fandom.com/wiki/Agatha_Warren_(Fox_River_character),https://static.wikia.nocookie.net/prisonbreak/images/6/61/Female.jpg/revision/latest?cb=20100501200110,,,,The Key,,,,,,,,,,,,,,,,,,,,,,,,The Key,,,Alive,,,,,,,,,,
Agatha Warren (character),https://prisonbreak.fandom.com/wiki/Agatha_Warren_(character),https://static.wikia.nocookie.net/prisonbreak/images/7/75/PrisonBreakS04E24HDTVXviD-BiAavi028.jpg/revision/latest/scale-to-width-down/268?cb=20100424135015,Michael Scofield,2,,,,,,,,Trapped to wall by Gretchen Morgan,,,The Old Ball and Chain,,,Female,,,,,The Final Break,,,,Free,,,,,,,,Miami-Dade Penitentiary Women's Facility,,,Alicia Lagano,Deceased,,,,"2005 , Miami-Dade Penitentiary Women's Facility , Miami"
Air strip controller,https://prisonbreak.fandom.com/wiki/Air_strip_controller,https://static.wikia.nocookie.net/prisonbreak/images/4/47/122-321.jpg/revision/latest/scale-to-width-down/268?cb=20110213184602,,,,Flight,,,,,,,,,,,,,,,,,,Doug James,,,,,,Flight,,,Alive,,,,,,,,,,
Akinyek,https://prisonbreak.fandom.com/wiki/Akinyek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Burrows (Pobeg),https://prisonbreak.fandom.com/wiki/Aldo_Burrows_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Burrows (The Conspiracy),https://prisonbreak.fandom.com/wiki/Aldo_Burrows_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/c/c3/143839437.jpg/revision/latest/scale-to-width-down/268?cb=20101028102406,,,,Prison Break - The Conspiracy (Game),,,,,,,,,,,,,,,,,,Unknown voice actor (English),,,,,,Prison Break - The Conspiracy (Game),,,Alive,,,,,,,,,,
Alexei Chernov,https://prisonbreak.fandom.com/wiki/Alexei_Chernov,https://static.wikia.nocookie.net/prisonbreak/images/7/78/Image.jpg/revision/latest/scale-to-width-down/268?cb=20120310152952,,,,,,,,,,,,Fernando Sucre Unidentified Inmate (4) Unidentified Inmate (5) John Abruzzi,,Unnamed prison,,,,,,,,,,,,,,,,,,,,,,,,,,Escaping prison,
Alice Simms,https://prisonbreak.fandom.com/wiki/Alice_Simms,https://static.wikia.nocookie.net/prisonbreak/images/0/0d/PrisonBreakS04E23HDTVXviD-BiAavi045.jpg/revision/latest/scale-to-width-down/268?cb=20100424142330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alive,,,,,,,,,,
Alison Hale (Pobeg),https://prisonbreak.fandom.com/wiki/Alison_Hale_(Pobeg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Hale,https://prisonbreak.fandom.com/wiki/Allison_Hale,https://static.wikia.nocookie.net/prisonbreak/images/9/97/PrisonBreakS04E22HDTVXviD-LOLavi115.jpg/revision/latest/scale-to-width-down/268?cb=20100425135657,,,,Killing Your Number,,,,,,,,,,,,,,,,,,Jennifer Kern,,,,,,Odd Man Out,,,Alive,,,,,,,,,,
Alphonso Gallego,https://prisonbreak.fandom.com/wiki/Alphonso_Gallego,https://static.wikia.nocookie.net/prisonbreak/images/a/a6/Pb-312-6.jpg/revision/latest/scale-to-width-down/268?cb=20120608133554,,4,,,,,,,,,,,Bang and Burn,,,Male,,,,,3,,,,The Art of the Deal,,,,,,,,,,,,Alive,,,,
Amber McCall,https://prisonbreak.fandom.com/wiki/Amber_McCall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Consul,https://prisonbreak.fandom.com/wiki/American_Consul,https://static.wikia.nocookie.net/prisonbreak/images/2/24/Vlcsnap-24281.png/revision/latest/scale-to-width-down/268?cb=20070922061832,,,,Orientación,,,,,,,,,,,,,,,,,,Charles van Eman [ 1 ],,,,,,Orientación,,,Alive,,,,,,,,,,
Amparo Vasquez,https://prisonbreak.fandom.com/wiki/Amparo_Vasquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Brennan,https://prisonbreak.fandom.com/wiki/Andre_Brennan,https://static.wikia.nocookie.net/prisonbreak/images/f/fe/Andre-brennan.jpg/revision/latest/scale-to-width-down/268?cb=20110505162958,,1,20 March 1961 [ 1 ],,,,,,,,,,One for the Money,,,Male,,Andrew,,,1,,,,One for the Money,,1 [ 2 ],,,,,,,,Mary Trahan Benjamin Klang,Richard Burgi . [ 3 ],Alive,,,,
Andrea,https://prisonbreak.fandom.com/wiki/Andrea,,,,,,,,Female,,Corrections Officer cadet,,,,,,,,,,,,,Georgie Flores,,,,,,,,,Alive,,,,,,,,,,
Andrew Blauner,https://prisonbreak.fandom.com/wiki/Andrew_Blauner,https://static.wikia.nocookie.net/prisonbreak/images/8/84/Normal_404-363.jpg/revision/latest/scale-to-width-down/268?cb=20100408183301,,,,Five the Hard Way,,,,,,,,,,,,,,,,,,Dameon Clarke,,,,,,Eagles and Angels,,,Deceased,,,,,,,,,,
Andrew Nelson,https://prisonbreak.fandom.com/wiki/Andrew_Nelson,,,,,,,,,,,,,,,,,Male,,,,,5,,,,,,,,,,,,Unnamed prison,,,,"Alive, serving",,,,
Andrew Tyge,https://prisonbreak.fandom.com/wiki/Andrew_Tyge,https://static.wikia.nocookie.net/prisonbreak/images/1/1d/Pphiopm-%27.jpg/revision/latest/scale-to-width-down/268?cb=20090407203813,1,2,,,,,,,,Stabbed,,,Interference,,,Male,,,,,3,,,,Photo Finish,,,,,,,,,,,Dominic Keating,Deceased,,,,2005
Andy Lerhop,https://prisonbreak.fandom.com/wiki/Andy_Lerhop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Owens,https://prisonbreak.fandom.com/wiki/Ann_Owens,https://static.wikia.nocookie.net/prisonbreak/images/f/f8/Ann.jpg/revision/latest/scale-to-width-down/268?cb=20100220001454,,,,2x8,,,,,,,,,,,,,,,,,,Alexandra Lydon,,,,,,2x6,,,Alive,,,,,,,,,,
Ann Westmoreland,https://prisonbreak.fandom.com/wiki/Ann_Westmoreland,https://static.wikia.nocookie.net/prisonbreak/images/6/61/Female.jpg/revision/latest?cb=20100501200110,,,,(Mentioned only),,,,,,,,,,,,,,,,,,,,,,,,(Mentioned only),,,Deceased,,,,,,,,,,
Ann Westmoreland (The Conspiracy),https://prisonbreak.fandom.com/wiki/Ann_Westmoreland_(The_Conspiracy),https://static.wikia.nocookie.net/prisonbreak/images/6/61/Female.jpg/revision/latest?cb=20100501200110,,,,Prison Break - The Conspiracy (Game) (Mentioned only),,,,,,,,,,,,,,,,,,,,,,,,Prison Break - The Conspiracy (Game) (Mentioned only),,,Deceased,,,,,,,,,,
Anna Westmoreland,https://prisonbreak.fandom.com/wiki/Anna_Westmoreland,https://static.wikia.nocookie.net/prisonbreak/images/e/ef/Prisonbreaks01e18bluffsjs6.jpg/revision/latest/scale-to-width-down/268?cb=20111121153128,,,,None (last mentioned in 1x21 ),,,,,,,,,,,,,,,,,,( unknown actor ),,,,,,None (first mentioned in 1x11 ),,,Deceased,,,,,,,,,,
Artenio,https://prisonbreak.fandom.com/wiki/Artenio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Bradshaw,https://prisonbreak.fandom.com/wiki/Arthur_Bradshaw,,,,,,,,,,,Killed by Theodore Bagwell Hand cutt off by Theodore Bagwell,,,The Bag Man,,,Male,,,,,1,,,,The Bag Man,,,,,,,,,,,( unknown actor ),Deceased,,,,2011
Arthur Montana,https://prisonbreak.fandom.com/wiki/Arthur_Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturo,https://prisonbreak.fandom.com/wiki/Arturo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturo Majores,https://prisonbreak.fandom.com/wiki/Arturo_Majores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto,https://prisonbreak.fandom.com/wiki/Augusto,https://static.wikia.nocookie.net/prisonbreak/images/a/ae/Pb_305_03.jpg/revision/latest/scale-to-width-down/268?cb=20100506180840,,,,,,,,,,,,,,,,,,,,,,F.J. Rio,,,,,,3x5,,,Alive,,,,,,,,,,
Background cast/Fox River,https://prisonbreak.fandom.com/wiki/Background_cast/Fox_River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballard,https://prisonbreak.fandom.com/wiki/Ballard,,Jason Buchanan Fox River inmate,1,,,,,,,,,,,Allen,,,Male,,,,,1,,,,Allen,,,,,,,,,,,( unknown actor ),Alive,,,,
Ballard (Sheriff),https://prisonbreak.fandom.com/wiki/Ballard_(Sheriff),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
