Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
A.L.I.E.,https://the100.fandom.com/wiki/A.L.I.E.,https://static.wikia.nocookie.net/thehundred/images/c/c8/ALIE_in_Fallen.jpg/revision/latest/scale-to-width-down/268?cb=20220809181435,Blood Must Have Blood (Part 2),Earth (former) Becca's Island (former) City of Light Arkadia (former) Polis (former) Go Sci Ring (former),Code erased via kill switch,A.L.I.E. 1.0 Red Alie Bitch in the red dress (by John Murphy ) Crazy Bitch (by Raven Reyes ),Nevermind (hallucination) The Dying of the Light (flashback),Terminated,,"Two , Three , Four , Six",Clarke Griffin,Erica Cerra Lindsey Morgan (while possessing Raven Reyes ) Devon Bostick (while possessing Jasper Jordan ),Most of the human population in 2052 Ontari (ordered death) Ilian family (ordered death),"Female (Artificial Intelligence, avatar based on Becca Franko )",Artificial Intelligence Leader of her followers (former),Her Cult Becca Franko Sky People (through Thelonious Jaha ) Grounders (through Ontari ) Coalition (through Ontari ),,Approximately 98 years
Abigail Griffin,https://the100.fandom.com/wiki/Abigail_Griffin,https://static.wikia.nocookie.net/thehundred/images/3/35/The_100_S6_Abby_Griffin.jpeg/revision/latest/scale-to-width-down/268?cb=20190819185456,Pilot,The Ark (former) Earth (former) Arkadia (former) City of Light (former) Becca's Island (former) Second Dawn Bunker (former) Shallow Valley (former) Eligius IV (former) Sanctum (former),Mind wiped,Dr. Griffin Doc Abby Chancellor Griffin Madam Chancellor Junkie The Cannibal Doctor (by Octavia ) Simone Lightbourne Badass (by Raven ) Ma'am,Adjustment Protocol,"Deceased , 2281 ; Sanctum",2109; The Ark,"One , Two , Three , Four , Five , Six",Russell Lightbourne,Paige Turco,"Jake Griffin (indirectly) One chipped Grounder Rock Line Thief Unknown number of Wonkru members (indirectly, Dark Year ) Michael Vinson Gavin (caused)",Female,Medical Doctor Chief Medical Officer Council member (former) Chancellor of Arkadia (former) Host for Simone Lightbourne,Sky People Kane's Faction A.L.I.E.'s Cult (former) Resistance Against A.L.I.E. Wonkru Primes (former),"Clarke Griffin (daughter) Jake Griffin † (husband) Marcus Kane † (boyfriend) Madi Griffin (adoptive granddaughter) Raven Reyes (declared family, daughter figure)","40-41 ( S1 - S4 ) 46-47 ( S5 - S6 ) 171-172 (chronologically, S6 )"
Aden,https://the100.fandom.com/wiki/Aden,https://static.wikia.nocookie.net/thehundred/images/1/1f/3x04_Aden.jpg/revision/latest/scale-to-width-down/268?cb=20190819000637,Ye Who Enter Here,Earth Polis,Beheaded in his sleep,"Heir to Bekka Pramheda Natblida, Nightblood novitiate",Stealing Fire,Deceased; 2150; Polis,2135-2137,Three,Ontari,Cory Gruter-Andrew,,Male,Commander 's novitiate Nightblood,Grounders Nightbloods,Lexa (mentor),13-15
Adria,https://the100.fandom.com/wiki/Adria,https://static.wikia.nocookie.net/thehundred/images/b/b0/3x14_Adria_crop.png/revision/latest/scale-to-width-down/268?cb=20170422042715,Red Sky at Morning,Floukru's rig Arkadia (briefly),Acute radiation syndrome (ARS),,The Four Horsemen,Deceased,,"Three , Four",Radiation,Zoe Wiesenthal,,Female,,Floukru,,8-13
Minor Characters,https://the100.fandom.com/wiki/Alex_Murphy,,,,,,,,,,,,,,,,,
Alyssa,https://the100.fandom.com/wiki/Alyssa,https://static.wikia.nocookie.net/thehundred/images/d/d8/703_Alyssa.png/revision/latest/scale-to-width-down/268?cb=20200604162556,False Gods,"Sanctum , Alpha",Stabbed with a Candlestick,,The Flock,Deceased,,Seven,Sheidheda Indra (indirectly),Britt Irvin,,Female,A member of the Faithful,Sanctumites The Faithful,,
Amanda Wowryk,https://the100.fandom.com/wiki/Amanda_Wowryk,https://static.wikia.nocookie.net/thehundred/images/a/a8/Delinquent_in_Unity_Day.PNG/revision/latest?cb=20200926133345,Pilot,Earth (current) The Ark (former) The camp,,,Unity Day,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Minor Characters,https://the100.fandom.com/wiki/Anat,,,,,,,,,,,,,,,,,
Anders,https://the100.fandom.com/wiki/Anders,https://static.wikia.nocookie.net/thehundred/images/6/63/7x05_anders_crop.png/revision/latest/scale-to-width-down/268?cb=20200611221718,Welcome to Bardo,Bardo,Throat slit,He Mr. Anders First Disciple Anders Brother Anders,Etherea (flashback),Deceased,Unknown; Bardo,Seven,Hope Diyoza,Neal McDonough,,Male,Leader of the Disciples First Disciple,Disciples,,50s
Ankara,https://the100.fandom.com/wiki/Ankara,https://static.wikia.nocookie.net/thehundred/images/c/c8/Ankara.png/revision/latest/scale-to-width-down/268?cb=20170430010647,DNR,Earth,Stabbed in the head,,DNR,Deceased,,Four,Octavia Blake,Melinda Michael,,Female,Farmer Warrior,Trishanakru,Unnamed mother,
Anthem Singer,https://the100.fandom.com/wiki/Anthem_Singer,https://static.wikia.nocookie.net/thehundred/images/c/c0/Singing_Grounder_Ye_Who_Enter_Here.jpg/revision/latest/scale-to-width-down/268?cb=20181226211040,Ye Who Enter Here,Earth (former) Second Dawn Bunker (former) Eligius IV (current),,,Pandora's Box (physical) The Warriors Will (voice),Unknown (likely transcended ),,"Three , Four , Five",,Julia Dominczak,,Female,Coalition anthem singer (former) Wonkru anthem singer,Grounders Coalition Wonkru,,
Anya,https://the100.fandom.com/wiki/Anya,https://static.wikia.nocookie.net/thehundred/images/f/f1/Anya_-_Unity_Day_episode.jpg/revision/latest/scale-to-width-down/268?cb=20160126203244,Unity Day,Earth Mount Weather (former),Shot in the chest,Grounder Princess (by Raven ),Many Happy Returns,Deceased,,"One , Two",Camp Jaha Guard,Dichen Lachman,,Female,Unit Leader (former) Warrior Mentor to Lexa (former),Trikru,Unknown,
Artigas,https://the100.fandom.com/wiki/Artigas,https://static.wikia.nocookie.net/thehundred/images/4/40/ArtigasCrop.jpg/revision/latest/scale-to-width-down/268?cb=20141126141328,Reapercussions,Earth,Shot,,Human Trials,Deceased,,Two,Finn Collins,Cameron Roberts,,Male,Warrior,Trikru,,14/15
Atohl,https://the100.fandom.com/wiki/Atohl,https://static.wikia.nocookie.net/thehundred/images/d/dd/Atohl2_crop_2x12.png/revision/latest/scale-to-width-down/268?cb=20150629214608,Rubicon,Earth,,,Resurrection,Unknown,,Two,,Aatash Amir,,Male,Warrior's Second,Azgeda,,
Atom,https://the100.fandom.com/wiki/Atom,https://static.wikia.nocookie.net/thehundred/images/8/81/AtomS1.jpg/revision/latest/scale-to-width-down/268?cb=20141127220709,Earth Skills,Earth (current) The Ark (former) The Camp,Acid Fog Stabbed in the neck,,Earth Kills,Deceased 2149; Earth,,One,Mountain Men (indirectly) Clarke Griffin (mercy kill),Rhys Ward,,Male,,Sky People The 100 Bellamy's Militia,,17
August,https://the100.fandom.com/wiki/August,https://static.wikia.nocookie.net/thehundred/images/d/d3/August_708_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200703184458,Anaconda,Earth Second Dawn Bunker (former),,Auggie August kom Trikru,Anaconda,Deceased,,Seven,,Leo Howard,,Male,,Tree Crew ( Trikru ) Second Dawn Grounders,Unnamed mother † Unnamed father † Janie † (girlfriend),
Aurora Blake,https://the100.fandom.com/wiki/Aurora_Blake,https://static.wikia.nocookie.net/thehundred/images/d/d2/AuroraBlakeCropHisSistersKeeper1x06.jpg/revision/latest/scale-to-width-down/268?cb=20140819153221,His Sister's Keeper (flashback),The Ark,Floated,,The Stranger (flashback),Deceased,,"One , Five , Seven",Commander Shumway Thelonious Jaha (ordered death) Marcus Kane (partially responsible),Monique Ganderton,,Female,Seamstress,Sky People,Bellamy Blake † (son) Octavia Blake (daughter) Tracy Blake † ( Grounder ancestor),30's-40's
Becca Franko,https://the100.fandom.com/wiki/Becca_Franko,https://static.wikia.nocookie.net/thehundred/images/0/02/3x07_Becca.png/revision/latest/scale-to-width-down/268?cb=20160312124516,Wanheda (Part 1) (video),Earth Polaris (former) Her island (former) Second Dawn Bunker (former),Burned at the stake (body) Destruction of the Flame (consciousness),"Doctor Bekka Pramheda (""Becca First Commander"" in Trigedasleng ) Heda (""Commander"" in Trigedasleng ) Dr. Franko",The Dying of the Light (flashback),"Deceased , 2054; outside of the Second Dawn Bunker",2025,"Three , Four , Five , Seven",Second Dawn cult led by Reese Cadogan Bill Cadogan (ordered) Raven Reyes and Gabriel Santiago (consciousness),Erica Cerra,11 billion of the human population of 2052 (indirectly) Crew of the Polaris (caused) A.L.I.E. (indirectly),Female,Neuroscientist Tech billionaire Scientist and Inventor Tech Tycoon [ 1 ] First Commander (posthumous; martyr),A.L.I.E. (former) A.L.I.E. 2.0 Grounders Infinity Corporation Eligius Corporation Resistance Against A.L.I.E. (through the Flame ),,29
Bellamy Blake,https://the100.fandom.com/wiki/Bellamy_Blake,https://static.wikia.nocookie.net/thehundred/images/3/37/Bellamy_Blake_613.jpg/revision/latest/scale-to-width-down/268?cb=20190807143113,Pilot,The Ark (former) Earth (former) The Camp (former) Mount Weather (former) Arkadia (former) Second Dawn Bunker (former) Becca's Island (former) Go-Sci Ring (former) Shallow Valley (former) Eligius IV (former) Alpha (former) Sanctum (former) Bardo (former) Etherea (former),Shot in the heart,Bell (by Octavia ) The King (by Murphy ) Big Brother (by Octavia ) Shooter (by Raven ) Disciple Blake (by Clarke ),Blood Giant A Sort of Homecoming (flashback),"Deceased , 2281; Sanctum Palace",2126 CE; The Ark,"One , Two , Three , Four , Five , Six , Seven",Clarke Griffin,Bob Morley Spencer Drever (child),"Dax Lorelei Tsing 20+ Mt. Weather guards 350 Mountain Men (with Clarke ) 300 Grounders (with Pike , Hannah and 7 others) Several Azgeda slavers (alongside Monty , Bryan , Harper and Nathan Miller ) Kara Cooper (with Clarke ) John Murphy (while under influence of Red Sun toxin; temporary) 4 Sanctum guards 2 Disciples",Male,Disciple Leader of Spacekru Member of Ark Guard (former) Co-leader of the 100 Mount Weather Guard (by ruse; former) Janitor (former),Disciples The 100 Sydney's Rebels (former) Sky People Pike's Faction (former) Kane's Faction Resistance Against A.L.I.E. Spacekru Wonkru (defected; former),Octavia Blake (maternal half sister) [ 1 ] Aurora Blake † (mother) Unnamed great grandfather † (mentioned) Tracy Blake † (ancestor) Clarke Griffin (best friend) Gina Martin † (former girlfriend) Echo (former girlfriend),"23 (S1-4) 29-30 (S5-7) 154-155 (chronologically, S6-7)"
Bill Cadogan,https://the100.fandom.com/wiki/Bill_Cadogan,https://static.wikia.nocookie.net/thehundred/images/0/0a/715_Cadogan_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200922231034,The Four Horsemen,Earth (former) His childhood house (former) Second Dawn Bunker (former) Polis (former) Etherea (former) Bardo (former) Alpha (former) Sanctum (former),Shot through the back of the head then shot multiple times in the back,Bill The Shepherd My Shepherd,The Last War,"Deceased , 2281 ; Judge's realm","October 20, 1987; Earth","Four , Seven",Clarke Griffin,John Pyper-Ferguson,Becca Franko (ordered) 8 members of Wonkru (ordered) Otis (ordered) Emori (caused),Male,Founder and leader of the Disciples Founder and leader of the Second Dawn (former),Disciples Second Dawn (former),Unnamed Mother † Unnamed Father † Grace Cadogan † (ex-wife) Callie Cadogan † (daughter) Reese Cadogan † (son),69 (biologically) 294 (chronologically)
Blake Zickefoose,https://the100.fandom.com/wiki/Blake_Zickefoose,https://static.wikia.nocookie.net/thehundred/images/b/bb/Blake_Zickefoose_in_1x08.PNG/revision/latest?cb=20200928125800,Pilot,Earth (current) The Ark (former) The camp,,,Day Trip,Unknown,,One,,Unknown,,Male,,Sky People The 100 Bellamy's Militia,,16-18
Blythe Ann Workman,https://the100.fandom.com/wiki/Blythe_Ann_Workman,https://static.wikia.nocookie.net/thehundred/images/4/45/610_Blythe_Ann_Workman_Crop.png/revision/latest/scale-to-width-down/268?cb=20190801175426,The Children of Gabriel,Alpha (current) Sanctum (current),,B.A.,Welcome to Bardo,Transcended,,"Six , Seven",,Karen Holness,Priya Desai VII,Female,Tavern owner,Sanctumites,Jae Workman (husband) Delilah Workman † (daughter),
Brad McMurray,https://the100.fandom.com/wiki/Brad_McMurray,https://static.wikia.nocookie.net/thehundred/images/7/73/Delinquent_featured_in_His_Sister%27s_Keeper.PNG/revision/latest/scale-to-width-down/268?cb=20200928125120,Pilot,Earth (current) The Ark (former) The camp,,,His Sister's Keeper,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Brandy,https://the100.fandom.com/wiki/Brandy,https://static.wikia.nocookie.net/thehundred/images/a/aa/Brandy_%28Pilot%29.png/revision/latest?cb=20250828195536,Pilot,Earth (current) The Ark (former) The camp,,,Pilot,Unknown,,One,,Unknown,,Female,,Sky People The 100,,16-18
Bree,https://the100.fandom.com/wiki/Bree,https://static.wikia.nocookie.net/thehundred/images/3/38/Bree2.png/revision/latest/scale-to-width-down/268?cb=20170331200304,Twilight's Last Gleaming,Earth (current) The Ark (former) The Camp (former) Arkadia,Suicide (drug overdose),,The Other Side,Deceased,,"One , Four",Herself,Alyson Bath,,Female,,The 100 Sky People,,17
