Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
50th Hunger Games,https://thehungergames.fandom.com/wiki/50th_Hunger_Games,https://static.wikia.nocookie.net/thehungergames/images/e/ef/50th_Cornucopia.jpeg/revision/latest/scale-to-width-down/268?cb=20251120144330,,,,,,,,,,51st Hunger Games Quarter Quell: 75th Hunger Games,48 tributes (2 male and 2 female from each district ),,Catching Fire,Sunrise on the Reaping,,,49th Hunger Games Quarter Quell: 25th Hunger Games,,,Poison paradise,,,7 days,Faustina Gripper,,,,Second Quarter Quell,,,,,,,,,District 12,,Haymitch Abernathy,
65th Hunger Games,https://thehungergames.fandom.com/wiki/65th_Hunger_Games,,,,,,,,,,,66th Hunger Games,,,Catching Fire,,,Regular,64th Hunger Games,,,,,,About 10-12 days,,,,,,,,,,,,,,District 4,,Finnick Odair,
Agrippina Sickle,https://thehungergames.fandom.com/wiki/Agrippina_Sickle,,The Capitol,,,,,,,,,,,,,,,,,,,,,Professor Gymnasium mistress,,,,,,,Vipsania Sickle (niece) Drusilla Sickle (unknown relation),,,,The Ballad of Songbirds and Snakes,,,,,,,Female
Alawna,https://thehungergames.fandom.com/wiki/Alawna,,District 8,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’6” (film),,,,Black (film),,Deceased,Sunrise on the Reaping,Carmen Guissou,,,,,,Female
Alma Coin,https://thehungergames.fandom.com/wiki/Alma_Coin,https://static.wikia.nocookie.net/thehungergames/images/4/49/PresidentCoinD13Portrait.jpg/revision/latest/scale-to-width-down/267?cb=20190306042858,District 13 The Capitol (briefly),Mid-late 50s ( Mockingjay ),,,,,Mockingjay - Part 1 Mockingjay - Part 2,Grey (books) [ 1 ] Hazel (films),,,,,,,,,,,,,,President of District 13 Rebel leader Interim President of Panem,,,,,,,Unnamed husband (film) Unnamed daughter (film),Grey (books [ 1 ] and films),,Deceased,Mockingjay,Julianne Moore,,,,Propaganda Bombs,,Female
Alpheus,https://thehungergames.fandom.com/wiki/Alpheus,https://static.wikia.nocookie.net/thehungergames/images/6/60/Alpheus.png/revision/latest?cb=20260418041839,District 2,15-18,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’2” (film),,,,Brown (film),,Deceased,Sunrise on the Reaping,Julius Trabolt,,,,,,Male
Ampert Latier,https://thehungergames.fandom.com/wiki/Ampert,https://static.wikia.nocookie.net/thehungergames/images/2/22/AmpertSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20260413154421,District 3,12 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’1” (film),,,Beetee Latier (father) Unnamed mother Unnamed younger sibling,Black (film),,Deceased,Sunrise on the Reaping,Percy Daggs IV [ 2 ],,,,,,Male
Androcles Anderson,https://thehungergames.fandom.com/wiki/Androcles_Anderson,https://static.wikia.nocookie.net/thehungergames/images/0/07/Androcles_Anderson.jpg/revision/latest?cb=20231106220258,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,,The Ballad of Songbirds and Snakes,Chieloka Jairus,,,,,,Male
Angler,https://thehungergames.fandom.com/wiki/Angler,https://static.wikia.nocookie.net/thehungergames/images/b/bf/Angler.png/revision/latest/scale-to-width-down/268?cb=20260418032539,District 4,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’0” (film),,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Dias Kaldybek,,,,,,Male
Anion,https://thehungergames.fandom.com/wiki/Anion,https://static.wikia.nocookie.net/thehungergames/images/7/7a/Anion1.png/revision/latest/scale-to-width-down/268?cb=20260704215345,District 5,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’9” (film),,,,Black (film),,Deceased,Sunrise on the Reaping,Padmé Hamdemir,,,,,,Female
