Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
A.J. Ford (TV Series),https://walkingdead.fandom.com/wiki/A.J._Ford_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ec/AJ-Cropped.PNG/revision/latest/scale-to-width-down/268?cb=20141120050512,,,Ellen Ford † - Mother Abraham Ford † - Father Becca Ford † - Sister,Caucasian-American,Dead,,,,10,,Red,,,,,,Male,Pre-Apocalypse Assumed Elementary School Student,,,Drake Ethan Light,,,,
AMC,https://walkingdead.fandom.com/wiki/AMC,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron (TV Series),https://walkingdead.fandom.com/wiki/Aaron_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/70/Season_eleven_aaron.png/revision/latest/scale-to-width-down/268?cb=20220926174046,,,(Unnamed) † - Mother (Unnamed) † - Brother Eric Raleigh † - Late Husband Gracie - Adopted Daughter,Caucasian-American,Alive,,,,"Early 30s ("" Them "") Late 30s ("" Who Are You Now? "") Early 40s ("" Rest in Peace "")",,Brown,,70,(Unnamed) - Ex-Boyfriend Paul Rovia † - Ex-Boyfriend [ 1 ],,The Man with the Metal Arm (by Alpha ),Male,Pre-Apocalypse Former Politician NGO Worker Post-Apocalypse Former Recruiter for the Alexandria Safe Zone and the Commonwealth Former Soldier for the Militia and the Coalition Former Head of the Alexandria Council Co-Leader of the Coalition and the Alexandria Safe Zone,,,Ross Marquand,,,,
Abraham's Group (TV Series),https://walkingdead.fandom.com/wiki/Abraham%27s_Group_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/8a/S04E10_Abe%2C_Eugene_and_Rosita.png/revision/latest/scale-to-width-down/268?cb=20190709170619,Unknown,TV Series,,,Disbanded,None,,Survivors,,,,Abraham Ford,,,,G.R.E.A.T.M.,,,,,,""" Inmates "" to "" Coda """,Rick's Group,,None
Abraham Ford (TV Series),https://walkingdead.fandom.com/wiki/Abraham_Ford_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ee/Season_six_abraham_ford.png/revision/latest/scale-to-width-down/268?cb=20210409010533,,,Ellen Ford † - Late Wife A.J. Ford † - Son Becca Ford † - Daughter,Caucasian-American,Dead,,,,Late 40s,,Red,,32,Rosita Espinosa † - Ex-Girlfriend Sasha Williams † - Girlfriend,Blue,Red (by Negan ),Male,Pre-Apocalypse Sergeant for the U.S Army Post-Apocalypse Former Leader of his own group Construction Foreman for the Alexandria Safe Zone,,,Michael Cudlitz,,,,
Adam Sutton (TV Series),https://walkingdead.fandom.com/wiki/Adam_Sutton_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/20/Season_eleven_adam_sutton.png/revision/latest/scale-to-width-down/268?cb=20221121231602,,,Frances † - Mother Mary † - Maternal Aunt John - Maternal Grandfather Alice - Maternal Grandmother Tammy Rose Sutton † - Adoptive Mother Earl Sutton † - Adoptive Father Alden † - Adoptive Father,Caucasian-American,Alive,,,,"6-8 Months ("" Bounty "") 1 ("" What It Always Is "") 3 ("" Rest in Peace "")",,Brown,,10,,,,Male,,,,Collete ( S9 ) Noah and Preston Wilbourn ( S11 ),,,"Unknown ( S9 , S10 , "" Rest in Peace "")",
Adeline (TV Series),https://walkingdead.fandom.com/wiki/Adeline_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/86/Season_nine_addy.png/revision/latest/scale-to-width-down/268?cb=20230723025924,,,Unknown,Caucasian-American,Dead,,,,Mid to Late Teens,,Dark Brown,,5,,,,Female,Pre-Apocalypse Student,,,Kelley Mack,,,,
Adrian (TV Series),https://walkingdead.fandom.com/wiki/Adrian_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/90/Extra9_%28JSS%29.png/revision/latest?cb=20151020235841,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Auburn,,2,,,,Male,Unknown,,,Andrew Rusk,,,,
Adrienne (TV Series),https://walkingdead.fandom.com/wiki/Adrienne_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/b/b7/Extra2_%28Lockdown%29.png/revision/latest/scale-to-width-down/268?cb=20220926183134,,,Unknown,Caucasian-American,Dead,,,,"Late 20s to Early 30s ("" Swear "") Mid to Late 30s ("" The Calm Before "")",,Brown,,13,,,,Female,Post-Apocalypse Photographer for the Commonwealth Tribune,,,Keely McAllister,,,,
Agatha (TV Series),https://walkingdead.fandom.com/wiki/Agatha_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/0f/Season_eleven_agatha.png/revision/latest/scale-to-width-down/268?cb=20210831190658,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,6,Duncan † - Late Boyfriend [ 1 ],,,Female,Unknown,,,Laurie Fortier,,,,
