season,part,character,cause_of_death,responsible_party,kill_points
1,,Three Unnamed Criminals,"The group was pursued by Shane and his fellow police officers along with the assistance of three officers from the Linden County Sheriff's Department until they were forced to stop. They engaged Shane, Rick and the remainder of the police force and were killed in the ensuing firefight before reanimating.",Shane Walsh Lambert Kendal Leon Basset,3 2 2
1,,Zombified - Summer,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Leon Basset,Died of unknown causes.,Unknown,
1,,Zombified - Leon Basset,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Zombified - Hannah,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Siggard Family Horse,Devoured by walkers .,Walkers,3
1,,Zombified - Wayne Dunlap,Beaten to death by T-Dog .,Theodore Douglas,1
1,,Ed Peletier,Devoured by walkers . Pick-axed repeatedly in the head to prevent reanimation by Carol Peletier .,Shane Walsh (Indirectly Caused) Walkers Carol Peletier (Before Reanimation),1 3 1
1,,Thirteen unnamed people Atlanta Camp Survivors,Devoured by walkers .,Walkers,20
1,,Amy Harrison,Bitten on the neck and arm by a walker .,Walker,1
1,,Zombified - Amy Harrison,Shot in the head by Andrea Harrison .,Andrea Harrison,1
1,,Jim,Bitten on the ribs by a walker and left to reanimate.,Walker,1
1,,Zombified - Dr. Candace Jenner,"After Candace was bitten, she agreed to let Edwin Jenner monitor the progression of the disease, until he ultimately had to shoot her after reanimation.",Dr. Edwin Jenner,1
1,,"Vi , Dr. Edwin Jenner , and Jacqui",Explosion.,Vi (Caused) Dr. Edwin Jenner (Caused) Jacqui (Suicide),3 3 1
2,Part 1 - 11 Deaths [ ],Sophia Peletier,Bitten on the left shoulder by a walker offscreen.,Walkers,1
2,Part 1 - 11 Deaths [ ],Otis,Shot in the leg by and left to be devoured by walkers .,Shane Walsh (Caused) Walkers,1 3
2,Part 1 - 11 Deaths [ ],Zombified - Louise Bush,Shot in the head by Shane Walsh .,Shane Walsh,1
2,Part 1 - 11 Deaths [ ],Zombified - Doug,Shot in the head by Shane Walsh .,Shane Walsh,1
2,Part 1 - 11 Deaths [ ],"Zombified - Lacey , Duncan , Mr. Fischer , Mrs. Fischer , Arnold Greene",Shot in the head by the Su rv iv or s.,Shane Walsh Theodore Douglas Andrea Harrison Daryl Dixon Glenn Rhee,5
2,Part 1 - 11 Deaths [ ],Zombified - Shawn Greene,Shot in the head.,Shane Walsh Theodore Douglas Andrea Harrison,1
2,Part 1 - 11 Deaths [ ],Zombified - Sophia Peletier,Shot in the head by Rick Grimes .,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Zombified - Annette Greene,Scythed through the head.,Andrea Harrison,1
2,Part 2 - 11 Deaths [ ],Dave,Shot in the head.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Tony,Shot twice in the chest and head.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Sean,Shot and devoured by walkers.,Hershel Greene (Caused) Walkers,1 2
2,Part 2 - 11 Deaths [ ],Dale Horvath,Disembowled by walker and then shot in head.,Carl Grimes (Indirectly Caused) Walker (Caused) Daryl Dixon (Out of Mercy),1
2,Part 2 - 11 Deaths [ ],Alive and Zombified - Randall Culver,Neck broken by Shane and later slashed in the head by Glenn .,Shane Walsh (Alive) Glenn Rhee (Zombified),1
2,Part 2 - 11 Deaths [ ],Shane Walsh,Stabbed in the chest.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Zombified - Shane Walsh,Shot in the head.,Carl Grimes,1
2,Part 2 - 11 Deaths [ ],Jimmy,Devoured by walkers and burned in fire.,Walkers,3
2,Part 2 - 11 Deaths [ ],Patricia,Devoured by walkers.,Walkers,3
3,Part 1 - 31 Deaths [ ],Big Tiny,Head bashed in repeatedly.,Walkers (Caused) Tomas,1
3,Part 1 - 31 Deaths [ ],Tomas,Slashed in the head with a machete.,Rick Grimes,1
3,Part 1 - 31 Deaths [ ],Sean,Helicopter crash.,Helicopter Blade,1
3,Part 1 - 31 Deaths [ ],Franklin,Helicopter crash then stabbed in the head before reanimation.,Helicopter crash The Governor (Before Reanimation),1
3,Part 1 - 31 Deaths [ ],Zombified - Sean,Stabbed in the head.,The Governor,1
3,Part 1 - 31 Deaths [ ],Brady,Shot in the shoulder and head bashed in.,The Governor,1
3,Part 1 - 31 Deaths [ ],Six unnamed people - National Guardsmen,Shot twice.,Philip Blake (Caused) Merle Dixon Caesar Martinez Shumpert Crowley Tim,6
